"TIME","GEO","ICHA_HC","INDIC_HE","UNIT","Value","Flag and Footnotes"
"2012","Austria","Services of curative care","Bed-days","Number","13 906 691.00",""
"2012","Austria","In-patient care","Discharges","Number","2 278 592.00",""
"2012","Austria","In-patient care","In-patient average length of stay (in days)","Number","7.90",""
"2012","Austria","In-patient care","Bed-days","Number",":",""
"2012","Poland","Services of curative care","Discharges","Number","6 138 705.00",""
"2012","Poland","Services of curative care","In-patient average length of stay (in days)","Number","6.80",""
"2012","Poland","Services of curative care","Bed-days","Number","41 772 109.00",""
"2012","Poland","In-patient care","Discharges","Number","6 251 264.00",""
"2012","Poland","In-patient care","In-patient average length of stay (in days)","Number","7.10",""
"2012","Poland","In-patient care","Bed-days","Number",":",""
"2012","Portugal","Services of curative care","Discharges","Number","1 149 692.00",""
"2012","Portugal","Services of curative care","In-patient average length of stay (in days)","Number","8.86",""
"2012","Portugal","Services of curative care","Bed-days","Number","10 189 158.00",""
"2012","Portugal","In-patient care","Discharges","Number","1 152 269.00",""
"2012","Portugal","In-patient care","In-patient average length of stay (in days)","Number","9.00",""
"2012","Portugal","In-patient care","Bed-days","Number",":",""
"2012","Romania","Services of curative care","Discharges","Number","4 093 293.00",""
"2012","Romania","Services of curative care","In-patient average length of stay (in days)","Number","6.45",""
"2012","Romania","Services of curative care","Bed-days","Number","26 406 634.00",""
"2012","Romania","In-patient care","Discharges","Number","4 431 386.00",""
"2012","Romania","In-patient care","In-patient average length of stay (in days)","Number","7.50",""
"2012","Romania","In-patient care","Bed-days","Number",":",""
"2012","Slovenia","Services of curative care","Discharges","Number","333 928.00",""
"2012","Slovenia","Services of curative care","In-patient average length of stay (in days)","Number","6.95",""
"2012","Slovenia","Services of curative care","Bed-days","Number","2 319 875.00",""
"2012","Slovenia","In-patient care","Discharges","Number","351 915.00",""
"2012","Slovenia","In-patient care","In-patient average length of stay (in days)","Number","7.48",""
"2012","Slovenia","In-patient care","Bed-days","Number",":",""
"2012","Slovakia","Services of curative care","Discharges","Number","915 356.00",""
"2012","Slovakia","Services of curative care","In-patient average length of stay (in days)","Number","6.20",""
"2012","Slovakia","Services of curative care","Bed-days","Number","5 620 574.00",""
"2012","Slovakia","In-patient care","Discharges","Number","1 029 301.00","b"
"2012","Slovakia","In-patient care","In-patient average length of stay (in days)","Number","7.70","b"
"2012","Slovakia","In-patient care","Bed-days","Number",":",""
"2012","Finland","Services of curative care","Discharges","Number","913 457.00",""
"2012","Finland","Services of curative care","In-patient average length of stay (in days)","Number","6.90",""
"2012","Finland","Services of curative care","Bed-days","Number","6 286 571.00",""
"2012","Finland","In-patient care","Discharges","Number","939 935.00",""
"2012","Finland","In-patient care","In-patient average length of stay (in days)","Number","11.20",""
"2012","Finland","In-patient care","Bed-days","Number",":",""
"2012","Sweden","Services of curative care","Discharges","Number","1 518 630.00",""
"2012","Sweden","Services of curative care","In-patient average length of stay (in days)","Number","5.58",""
"2012","Sweden","Services of curative care","Bed-days","Number",":",""
"2012","Sweden","In-patient care","Discharges","Number","1 567 080.00",""
"2012","Sweden","In-patient care","In-patient average length of stay (in days)","Number","5.79",""
"2012","Sweden","In-patient care","Bed-days","Number",":",""
"2012","Iceland","Services of curative care","Discharges","Number","40 025.00",""
"2012","Iceland","Services of curative care","In-patient average length of stay (in days)","Number","5.46",""
"2012","Iceland","Services of curative care","Bed-days","Number","218 510.00",""
"2012","Iceland","In-patient care","Discharges","Number","40 876.00",""
"2012","Iceland","In-patient care","In-patient average length of stay (in days)","Number","5.79",""
"2012","Iceland","In-patient care","Bed-days","Number",":",""
"2012","Liechtenstein","Services of curative care","Discharges","Number","2 319.00",""
"2012","Liechtenstein","Services of curative care","In-patient average length of stay (in days)","Number","6.03",""
"2012","Liechtenstein","Services of curative care","Bed-days","Number","13 980.00",""
"2012","Liechtenstein","In-patient care","Discharges","Number","2 336.00",""
"2012","Liechtenstein","In-patient care","In-patient average length of stay (in days)","Number","6.10",""
"2012","Liechtenstein","In-patient care","Bed-days","Number",":",""
"2012","Norway","Services of curative care","Discharges","Number","949 251.00",""
"2012","Norway","Services of curative care","In-patient average length of stay (in days)","Number","5.80",""
"2012","Norway","Services of curative care","Bed-days","Number",":",""
"2012","Norway","In-patient care","Discharges","Number","980 472.00",""
"2012","Norway","In-patient care","In-patient average length of stay (in days)","Number","6.20",""
"2012","Norway","In-patient care","Bed-days","Number",":",""
"2012","Switzerland","Services of curative care","Discharges","Number","1 238 280.00",""
"2012","Switzerland","Services of curative care","In-patient average length of stay (in days)","Number","7.52",""
"2012","Switzerland","Services of curative care","Bed-days","Number","9 317 440.00",""
"2012","Switzerland","In-patient care","Discharges","Number","1 330 384.00",""
"2012","Switzerland","In-patient care","In-patient average length of stay (in days)","Number","8.66",""
"2012","Switzerland","In-patient care","Bed-days","Number",":",""
"2012","United Kingdom","Services of curative care","Discharges","Number","8 088 069.08",""
"2012","United Kingdom","Services of curative care","In-patient average length of stay (in days)","Number","6.01",""
"2012","United Kingdom","Services of curative care","Bed-days","Number",":",""
"2012","United Kingdom","In-patient care","Discharges","Number","8 513 950.00",""
"2012","United Kingdom","In-patient care","In-patient average length of stay (in days)","Number","7.24",""
"2012","United Kingdom","In-patient care","Bed-days","Number",":",""
"2012","Montenegro","Services of curative care","Discharges","Number",":",""
"2012","Montenegro","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2012","Montenegro","Services of curative care","Bed-days","Number",":",""
"2012","Montenegro","In-patient care","Discharges","Number","72 263.00",""
"2012","Montenegro","In-patient care","In-patient average length of stay (in days)","Number","7.88",""
"2012","Montenegro","In-patient care","Bed-days","Number",":",""
"2012","North Macedonia","Services of curative care","Discharges","Number","200 460.00",""
"2012","North Macedonia","Services of curative care","In-patient average length of stay (in days)","Number","5.94",""
"2012","North Macedonia","Services of curative care","Bed-days","Number",":",""
"2012","North Macedonia","In-patient care","Discharges","Number",":",""
"2012","North Macedonia","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2012","North Macedonia","In-patient care","Bed-days","Number",":",""
"2012","Albania","Services of curative care","Discharges","Number",":",""
"2012","Albania","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2012","Albania","Services of curative care","Bed-days","Number",":",""
"2012","Albania","In-patient care","Discharges","Number","247 331.00",""
"2012","Albania","In-patient care","In-patient average length of stay (in days)","Number","6.10",""
"2012","Albania","In-patient care","Bed-days","Number",":",""
"2012","Serbia","Services of curative care","Discharges","Number","1 022 850.00",""
"2012","Serbia","Services of curative care","In-patient average length of stay (in days)","Number","8.00",""
"2012","Serbia","Services of curative care","Bed-days","Number","8 188 628.00",""
"2012","Serbia","In-patient care","Discharges","Number","1 126 382.00",""
"2012","Serbia","In-patient care","In-patient average length of stay (in days)","Number","8.80",""
"2012","Serbia","In-patient care","Bed-days","Number",":",""
"2012","Turkey","Services of curative care","Discharges","Number","11 819 345.00",""
"2012","Turkey","Services of curative care","In-patient average length of stay (in days)","Number","3.94",""
"2012","Turkey","Services of curative care","Bed-days","Number","46 532 066.00",""
"2012","Turkey","In-patient care","Discharges","Number","11 849 456.00",""
"2012","Turkey","In-patient care","In-patient average length of stay (in days)","Number","3.97",""
"2012","Turkey","In-patient care","Bed-days","Number",":",""
"2013","European Union - 27 countries (from 2020)","Services of curative care","Discharges","Number",":",""
"2013","European Union - 27 countries (from 2020)","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2013","European Union - 27 countries (from 2020)","Services of curative care","Bed-days","Number",":",""
"2013","European Union - 27 countries (from 2020)","In-patient care","Discharges","Number","79 225 340.00","e"
"2013","European Union - 27 countries (from 2020)","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2013","European Union - 27 countries (from 2020)","In-patient care","Bed-days","Number",":",""
"2013","European Union - 28 countries (2013-2020)","Services of curative care","Discharges","Number",":",""
"2013","European Union - 28 countries (2013-2020)","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2013","European Union - 28 countries (2013-2020)","Services of curative care","Bed-days","Number",":",""
"2013","European Union - 28 countries (2013-2020)","In-patient care","Discharges","Number","87 724 900.00","e"
"2013","European Union - 28 countries (2013-2020)","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2013","European Union - 28 countries (2013-2020)","In-patient care","Bed-days","Number",":",""
"2013","Belgium","Services of curative care","Discharges","Number","1 819 402.00",""
"2013","Belgium","Services of curative care","In-patient average length of stay (in days)","Number","6.90",""
"2013","Belgium","Services of curative care","Bed-days","Number","12 559 888.00",""
"2013","Belgium","In-patient care","Discharges","Number","1 846 151.00",""
"2013","Belgium","In-patient care","In-patient average length of stay (in days)","Number","7.79",""
"2013","Belgium","In-patient care","Bed-days","Number",":",""
"2013","Bulgaria","Services of curative care","Discharges","Number",":",""
"2013","Bulgaria","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2013","Bulgaria","Services of curative care","Bed-days","Number",":",""
"2013","Bulgaria","In-patient care","Discharges","Number","2 224 520.00",""
"2013","Bulgaria","In-patient care","In-patient average length of stay (in days)","Number","5.60",""
"2013","Bulgaria","In-patient care","Bed-days","Number",":",""
"2013","Czechia","Services of curative care","Discharges","Number","1 974 085.00",""
"2013","Czechia","Services of curative care","In-patient average length of stay (in days)","Number","6.04",""
"2013","Czechia","Services of curative care","Bed-days","Number","11 931 792.00",""
"2013","Czechia","In-patient care","Discharges","Number","2 142 523.00",""
"2013","Czechia","In-patient care","In-patient average length of stay (in days)","Number","9.38",""
"2013","Czechia","In-patient care","Bed-days","Number",":",""
"2013","Denmark","Services of curative care","Discharges","Number",":",""
"2013","Denmark","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2013","Denmark","Services of curative care","Bed-days","Number",":",""
"2013","Denmark","In-patient care","Discharges","Number","851 976.00",""
"2013","Denmark","In-patient care","In-patient average length of stay (in days)","Number","5.62",""
"2013","Denmark","In-patient care","Bed-days","Number",":",""
"2013","Germany (until 1990 former territory of the FRG)","Services of curative care","Discharges","Number","18 703 261.00",""
"2013","Germany (until 1990 former territory of the FRG)","Services of curative care","In-patient average length of stay (in days)","Number","7.70",""
"2013","Germany (until 1990 former territory of the FRG)","Services of curative care","Bed-days","Number","144 939 299.00",""
"2013","Germany (until 1990 former territory of the FRG)","In-patient care","Discharges","Number","20 342 322.00",""
"2013","Germany (until 1990 former territory of the FRG)","In-patient care","In-patient average length of stay (in days)","Number","9.10",""
"2013","Germany (until 1990 former territory of the FRG)","In-patient care","Bed-days","Number",":",""
"2013","Estonia","Services of curative care","Discharges","Number","212 014.00",""
"2013","Estonia","Services of curative care","In-patient average length of stay (in days)","Number","6.00",""
"2013","Estonia","Services of curative care","Bed-days","Number","1 269 102.00",""
"2013","Estonia","In-patient care","Discharges","Number","233 560.00","b"
"2013","Estonia","In-patient care","In-patient average length of stay (in days)","Number","7.50","b"
"2013","Estonia","In-patient care","Bed-days","Number",":",""
"2013","Ireland","Services of curative care","Discharges","Number","641 736.00",""
"2013","Ireland","Services of curative care","In-patient average length of stay (in days)","Number","5.70",""
"2013","Ireland","Services of curative care","Bed-days","Number","3 650 712.00",""
"2013","Ireland","In-patient care","Discharges","Number","649 105.00",""
"2013","Ireland","In-patient care","In-patient average length of stay (in days)","Number","6.00",""
"2013","Ireland","In-patient care","Bed-days","Number",":",""
"2013","Greece","Services of curative care","Discharges","Number","1 576 551.00","b"
"2013","Greece","Services of curative care","In-patient average length of stay (in days)","Number","5.60","b"
"2013","Greece","Services of curative care","Bed-days","Number",":",""
"2013","Greece","In-patient care","Discharges","Number","1 597 333.00","b"
"2013","Greece","In-patient care","In-patient average length of stay (in days)","Number","7.50","b"
"2013","Greece","In-patient care","Bed-days","Number",":",""
"2013","Spain","Services of curative care","Discharges","Number","5 116 261.00",""
"2013","Spain","Services of curative care","In-patient average length of stay (in days)","Number","6.13",""
"2013","Spain","Services of curative care","Bed-days","Number","31 383 503.00",""
"2013","Spain","In-patient care","Discharges","Number","5 145 075.00",""
"2013","Spain","In-patient care","In-patient average length of stay (in days)","Number","7.57",""
"2013","Spain","In-patient care","Bed-days","Number",":",""
"2013","France","Services of curative care","Discharges","Number","11 054 242.00","b"
"2013","France","Services of curative care","In-patient average length of stay (in days)","Number","5.65","b"
"2013","France","Services of curative care","Bed-days","Number","62 447 906.00","b"
"2013","France","In-patient care","Discharges","Number","12 736 700.00","b"
"2013","France","In-patient care","In-patient average length of stay (in days)","Number","8.93","b"
"2013","France","In-patient care","Bed-days","Number",":",""
"2013","Croatia","Services of curative care","Discharges","Number","666 955.00",""
"2013","Croatia","Services of curative care","In-patient average length of stay (in days)","Number","6.80",""
"2013","Croatia","Services of curative care","Bed-days","Number","4 537 276.00",""
"2013","Croatia","In-patient care","Discharges","Number","739 957.00",""
"2013","Croatia","In-patient care","In-patient average length of stay (in days)","Number","8.90",""
"2013","Croatia","In-patient care","Bed-days","Number",":",""
"2013","Italy","Services of curative care","Discharges","Number","6 635 024.00",""
"2013","Italy","Services of curative care","In-patient average length of stay (in days)","Number","6.75",""
"2013","Italy","Services of curative care","Bed-days","Number","44 802 968.00",""
"2013","Italy","In-patient care","Discharges","Number","7 455 020.00",""
"2013","Italy","In-patient care","In-patient average length of stay (in days)","Number","7.68",""
"2013","Italy","In-patient care","Bed-days","Number",":",""
"2013","Cyprus","Services of curative care","Discharges","Number","67 174.00","d"
"2013","Cyprus","Services of curative care","In-patient average length of stay (in days)","Number","5.70","d"
"2013","Cyprus","Services of curative care","Bed-days","Number","380 101.00","d"
"2013","Cyprus","In-patient care","Discharges","Number","67 556.00","d"
"2013","Cyprus","In-patient care","In-patient average length of stay (in days)","Number","6.10","d"
"2013","Cyprus","In-patient care","Bed-days","Number",":",""
"2013","Latvia","Services of curative care","Discharges","Number","300 933.00",""
"2013","Latvia","Services of curative care","In-patient average length of stay (in days)","Number","5.82",""
"2013","Latvia","Services of curative care","Bed-days","Number","1 751 705.00",""
"2013","Latvia","In-patient care","Discharges","Number","377 307.00",""
"2013","Latvia","In-patient care","In-patient average length of stay (in days)","Number","8.29",""
"2013","Latvia","In-patient care","Bed-days","Number",":",""
"2013","Lithuania","Services of curative care","Discharges","Number","668 899.00",""
"2013","Lithuania","Services of curative care","In-patient average length of stay (in days)","Number","6.88",""
"2013","Lithuania","Services of curative care","Bed-days","Number","4 602 220.00",""
"2013","Lithuania","In-patient care","Discharges","Number","685 663.00",""
"2013","Lithuania","In-patient care","In-patient average length of stay (in days)","Number","7.95",""
"2013","Lithuania","In-patient care","Bed-days","Number",":",""
"2013","Luxembourg","Services of curative care","Discharges","Number","77 813.00",""
"2013","Luxembourg","Services of curative care","In-patient average length of stay (in days)","Number","7.33",""
"2013","Luxembourg","Services of curative care","Bed-days","Number","570 147.00",""
"2013","Luxembourg","In-patient care","Discharges","Number","79 997.00",""
"2013","Luxembourg","In-patient care","In-patient average length of stay (in days)","Number","8.99",""
"2013","Luxembourg","In-patient care","Bed-days","Number",":",""
"2013","Hungary","Services of curative care","Discharges","Number","1 730 479.00",""
"2013","Hungary","Services of curative care","In-patient average length of stay (in days)","Number","5.71",""
"2013","Hungary","Services of curative care","Bed-days","Number","9 883 219.00",""
"2013","Hungary","In-patient care","Discharges","Number","1 999 137.00",""
"2013","Hungary","In-patient care","In-patient average length of stay (in days)","Number","9.41",""
"2013","Hungary","In-patient care","Bed-days","Number",":",""
"2013","Malta","Services of curative care","Discharges","Number","60 050.00",""
"2013","Malta","Services of curative care","In-patient average length of stay (in days)","Number","5.29",""
"2013","Malta","Services of curative care","Bed-days","Number","317 950.00",""
"2013","Malta","In-patient care","Discharges","Number","63 137.00",""
"2013","Malta","In-patient care","In-patient average length of stay (in days)","Number","8.58",""
"2013","Malta","In-patient care","Bed-days","Number",":",""
"2013","Netherlands","Services of curative care","Discharges","Number",":",""
"2013","Netherlands","Services of curative care","In-patient average length of stay (in days)","Number","6.70",""
"2013","Netherlands","Services of curative care","Bed-days","Number",":",""
"2013","Netherlands","In-patient care","Discharges","Number",":",""
"2013","Netherlands","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2013","Netherlands","In-patient care","Bed-days","Number",":",""
"2013","Austria","Services of curative care","Discharges","Number","2 106 981.00",""
"2013","Austria","Services of curative care","In-patient average length of stay (in days)","Number","6.50",""
"2013","Austria","Services of curative care","Bed-days","Number","13 696 184.00",""
"2013","Austria","In-patient care","Discharges","Number","2 251 959.00",""
"2013","Austria","In-patient care","In-patient average length of stay (in days)","Number","8.10",""
"2013","Austria","In-patient care","Bed-days","Number",":",""
"2013","Poland","Services of curative care","Discharges","Number","6 245 639.00",""
"2013","Poland","Services of curative care","In-patient average length of stay (in days)","Number","6.70",""
"2013","Poland","Services of curative care","Bed-days","Number","41 585 404.00",""
"2013","Poland","In-patient care","Discharges","Number","6 352 351.00",""
"2013","Poland","In-patient care","In-patient average length of stay (in days)","Number","7.00",""
"2013","Poland","In-patient care","Bed-days","Number",":",""
"2013","Portugal","Services of curative care","Discharges","Number","1 134 258.00",""
"2013","Portugal","Services of curative care","In-patient average length of stay (in days)","Number","8.84",""
"2013","Portugal","Services of curative care","Bed-days","Number","10 021 300.00",""
"2013","Portugal","In-patient care","Discharges","Number","1 137 408.00",""
"2013","Portugal","In-patient care","In-patient average length of stay (in days)","Number","8.90",""
"2013","Portugal","In-patient care","Bed-days","Number",":",""
"2013","Romania","Services of curative care","Discharges","Number","4 092 677.00",""
"2013","Romania","Services of curative care","In-patient average length of stay (in days)","Number","6.30",""
"2013","Romania","Services of curative care","Bed-days","Number","25 770 995.00",""
"2013","Romania","In-patient care","Discharges","Number","4 449 797.00",""
"2013","Romania","In-patient care","In-patient average length of stay (in days)","Number","7.35",""
"2013","Romania","In-patient care","Bed-days","Number",":",""
"2013","Slovenia","Services of curative care","Discharges","Number","339 392.00","b"
"2013","Slovenia","Services of curative care","In-patient average length of stay (in days)","Number","6.60","b"
"2013","Slovenia","Services of curative care","Bed-days","Number","2 240 546.00","b"
"2013","Slovenia","In-patient care","Discharges","Number","373 899.00","b"
"2013","Slovenia","In-patient care","In-patient average length of stay (in days)","Number","6.80","b"
"2013","Slovenia","In-patient care","Bed-days","Number",":",""
"2013","Slovakia","Services of curative care","Discharges","Number","892 072.00",""
"2013","Slovakia","Services of curative care","In-patient average length of stay (in days)","Number","6.20",""
"2013","Slovakia","Services of curative care","Bed-days","Number","5 459 238.00",""
"2013","Slovakia","In-patient care","Discharges","Number",":",""
"2013","Slovakia","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2013","Slovakia","In-patient care","Bed-days","Number",":",""
"2013","Finland","Services of curative care","Discharges","Number","896 617.00",""
"2013","Finland","Services of curative care","In-patient average length of stay (in days)","Number","6.80",""
"2013","Finland","Services of curative care","Bed-days","Number","6 077 461.00",""
"2013","Finland","In-patient care","Discharges","Number","921 730.00",""
"2013","Finland","In-patient care","In-patient average length of stay (in days)","Number","10.80",""
"2013","Finland","In-patient care","Bed-days","Number",":",""
"2013","Sweden","Services of curative care","Discharges","Number","1 486 376.00",""
"2013","Sweden","Services of curative care","In-patient average length of stay (in days)","Number","5.59",""
"2013","Sweden","Services of curative care","Bed-days","Number",":",""
"2013","Sweden","In-patient care","Discharges","Number","1 536 856.00",""
"2013","Sweden","In-patient care","In-patient average length of stay (in days)","Number","5.81",""
"2013","Sweden","In-patient care","Bed-days","Number",":",""
"2013","Iceland","Services of curative care","Discharges","Number","39 133.00",""
"2013","Iceland","Services of curative care","In-patient average length of stay (in days)","Number","5.60",""
"2013","Iceland","Services of curative care","Bed-days","Number","219 155.00",""
"2013","Iceland","In-patient care","Discharges","Number","40 016.00",""
"2013","Iceland","In-patient care","In-patient average length of stay (in days)","Number","5.91",""
"2013","Iceland","In-patient care","Bed-days","Number",":",""
"2013","Liechtenstein","Services of curative care","Discharges","Number","2 632.00",""
"2013","Liechtenstein","Services of curative care","In-patient average length of stay (in days)","Number","6.12",""
"2013","Liechtenstein","Services of curative care","Bed-days","Number","16 120.00",""
"2013","Liechtenstein","In-patient care","Discharges","Number","2 636.00",""
"2013","Liechtenstein","In-patient care","In-patient average length of stay (in days)","Number","6.14",""
"2013","Liechtenstein","In-patient care","Bed-days","Number",":",""
"2013","Norway","Services of curative care","Discharges","Number","952 121.00",""
"2013","Norway","Services of curative care","In-patient average length of stay (in days)","Number","5.50",""
"2013","Norway","Services of curative care","Bed-days","Number",":",""
"2013","Norway","In-patient care","Discharges","Number","982 326.00",""
"2013","Norway","In-patient care","In-patient average length of stay (in days)","Number","6.10",""
"2013","Norway","In-patient care","Bed-days","Number",":",""
"2013","Switzerland","Services of curative care","Discharges","Number","1 254 310.00",""
"2013","Switzerland","Services of curative care","In-patient average length of stay (in days)","Number","7.45",""
"2013","Switzerland","Services of curative care","Bed-days","Number","9 340 431.00",""
"2013","Switzerland","In-patient care","Discharges","Number","1 350 811.00",""
"2013","Switzerland","In-patient care","In-patient average length of stay (in days)","Number","8.61",""
"2013","Switzerland","In-patient care","Bed-days","Number",":",""
"2013","United Kingdom","Services of curative care","Discharges","Number","8 075 653.04",""
"2013","United Kingdom","Services of curative care","In-patient average length of stay (in days)","Number","5.98",""
"2013","United Kingdom","Services of curative care","Bed-days","Number",":",""
"2013","United Kingdom","In-patient care","Discharges","Number","8 499 560.00",""
"2013","United Kingdom","In-patient care","In-patient average length of stay (in days)","Number","7.18",""
"2013","United Kingdom","In-patient care","Bed-days","Number",":",""
"2013","Montenegro","Services of curative care","Discharges","Number",":",""
"2013","Montenegro","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2013","Montenegro","Services of curative care","Bed-days","Number",":",""
"2013","Montenegro","In-patient care","Discharges","Number","73 564.00",""
"2013","Montenegro","In-patient care","In-patient average length of stay (in days)","Number","7.74",""
"2013","Montenegro","In-patient care","Bed-days","Number",":",""
"2013","North Macedonia","Services of curative care","Discharges","Number","210 972.00",""
"2013","North Macedonia","Services of curative care","In-patient average length of stay (in days)","Number","5.86",""
"2013","North Macedonia","Services of curative care","Bed-days","Number",":",""
"2013","North Macedonia","In-patient care","Discharges","Number",":",""
"2013","North Macedonia","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2013","North Macedonia","In-patient care","Bed-days","Number",":",""
"2013","Albania","Services of curative care","Discharges","Number",":",""
"2013","Albania","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2013","Albania","Services of curative care","Bed-days","Number",":",""
"2013","Albania","In-patient care","Discharges","Number","260 780.00",""
"2013","Albania","In-patient care","In-patient average length of stay (in days)","Number","5.50",""
"2013","Albania","In-patient care","Bed-days","Number",":",""
"2013","Serbia","Services of curative care","Discharges","Number","1 030 058.00",""
"2013","Serbia","Services of curative care","In-patient average length of stay (in days)","Number","8.10",""
"2013","Serbia","Services of curative care","Bed-days","Number","8 332 236.00",""
"2013","Serbia","In-patient care","Discharges","Number","1 133 563.00",""
"2013","Serbia","In-patient care","In-patient average length of stay (in days)","Number","8.80",""
"2013","Serbia","In-patient care","Bed-days","Number",":",""
"2013","Turkey","Services of curative care","Discharges","Number","12 205 603.00",""
"2013","Turkey","Services of curative care","In-patient average length of stay (in days)","Number","3.90",""
"2013","Turkey","Services of curative care","Bed-days","Number","47 620 109.00",""
"2013","Turkey","In-patient care","Discharges","Number","12 239 923.00",""
"2013","Turkey","In-patient care","In-patient average length of stay (in days)","Number","3.94",""
"2013","Turkey","In-patient care","Bed-days","Number",":",""
"2014","European Union - 27 countries (from 2020)","Services of curative care","Discharges","Number",":",""
"2014","European Union - 27 countries (from 2020)","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2014","European Union - 27 countries (from 2020)","Services of curative care","Bed-days","Number",":",""
"2014","European Union - 27 countries (from 2020)","In-patient care","Discharges","Number","79 599 422.00","e"
"2014","European Union - 27 countries (from 2020)","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2014","European Union - 27 countries (from 2020)","In-patient care","Bed-days","Number",":",""
"2014","European Union - 28 countries (2013-2020)","Services of curative care","Discharges","Number",":",""
"2014","European Union - 28 countries (2013-2020)","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2014","European Union - 28 countries (2013-2020)","Services of curative care","Bed-days","Number",":",""
"2014","European Union - 28 countries (2013-2020)","In-patient care","Discharges","Number","88 168 846.00","e"
"2014","European Union - 28 countries (2013-2020)","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2014","European Union - 28 countries (2013-2020)","In-patient care","Bed-days","Number",":",""
"2014","Belgium","Services of curative care","Discharges","Number","1 842 559.00",""
"2014","Belgium","Services of curative care","In-patient average length of stay (in days)","Number","6.90",""
"2014","Belgium","Services of curative care","Bed-days","Number","12 644 430.00",""
"2014","Belgium","In-patient care","Discharges","Number","1 858 651.00",""
"2014","Belgium","In-patient care","In-patient average length of stay (in days)","Number","7.58",""
"2014","Belgium","In-patient care","Bed-days","Number",":",""
"2014","Bulgaria","Services of curative care","Discharges","Number",":",""
"2014","Bulgaria","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2014","Bulgaria","Services of curative care","Bed-days","Number",":",""
"2014","Bulgaria","In-patient care","Discharges","Number","2 323 313.00","b"
"2014","Bulgaria","In-patient care","In-patient average length of stay (in days)","Number","5.40","b"
"2014","Bulgaria","In-patient care","Bed-days","Number",":",""
"2014","Czechia","Services of curative care","Discharges","Number","1 995 024.00",""
"2014","Czechia","Services of curative care","In-patient average length of stay (in days)","Number","5.98",""
"2014","Czechia","Services of curative care","Bed-days","Number","11 924 529.00",""
"2014","Czechia","In-patient care","Discharges","Number","2 171 104.00",""
"2014","Czechia","In-patient care","In-patient average length of stay (in days)","Number","9.37",""
"2014","Czechia","In-patient care","Bed-days","Number",":",""
"2014","Denmark","Services of curative care","Discharges","Number",":",""
"2014","Denmark","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2014","Denmark","Services of curative care","Bed-days","Number",":",""
"2014","Denmark","In-patient care","Discharges","Number","855 340.00",""
"2014","Denmark","In-patient care","In-patient average length of stay (in days)","Number","5.52",""
"2014","Denmark","In-patient care","Bed-days","Number",":",""
"2014","Germany (until 1990 former territory of the FRG)","Services of curative care","Discharges","Number","19 073 071.00",""
"2014","Germany (until 1990 former territory of the FRG)","Services of curative care","In-patient average length of stay (in days)","Number","7.60",""
"2014","Germany (until 1990 former territory of the FRG)","Services of curative care","Bed-days","Number","145 701 290.00",""
"2014","Germany (until 1990 former territory of the FRG)","In-patient care","Discharges","Number","20 733 405.00",""
"2014","Germany (until 1990 former territory of the FRG)","In-patient care","In-patient average length of stay (in days)","Number","9.00",""
"2014","Germany (until 1990 former territory of the FRG)","In-patient care","Bed-days","Number",":",""
"2014","Estonia","Services of curative care","Discharges","Number","208 497.00",""
"2014","Estonia","Services of curative care","In-patient average length of stay (in days)","Number","5.90",""
"2014","Estonia","Services of curative care","Bed-days","Number","1 238 576.00",""
"2014","Estonia","In-patient care","Discharges","Number","230 439.00",""
"2014","Estonia","In-patient care","In-patient average length of stay (in days)","Number","7.60",""
"2014","Estonia","In-patient care","Bed-days","Number",":",""
"2014","Ireland","Services of curative care","Discharges","Number","648 660.00",""
"2014","Ireland","Services of curative care","In-patient average length of stay (in days)","Number","5.60",""
"2014","Ireland","Services of curative care","Bed-days","Number","3 663 728.00",""
"2014","Ireland","In-patient care","Discharges","Number","655 747.00",""
"2014","Ireland","In-patient care","In-patient average length of stay (in days)","Number","6.00",""
"2014","Ireland","In-patient care","Bed-days","Number",":",""
"2014","Greece","Services of curative care","Discharges","Number","1 497 944.00",""
"2014","Greece","Services of curative care","In-patient average length of stay (in days)","Number","5.60",""
"2014","Greece","Services of curative care","Bed-days","Number",":",""
"2014","Greece","In-patient care","Discharges","Number","1 517 886.00",""
"2014","Greece","In-patient care","In-patient average length of stay (in days)","Number","7.30",""
"2014","Greece","In-patient care","Bed-days","Number",":",""
