"TIME","GEO","UNIT","SEX","ICD10","Value","Value_imp"
2012,"Iceland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",13,FALSE
2012,"Iceland","Number","Total","Other sepsis",6,FALSE
2012,"Iceland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",32,FALSE
2012,"Iceland","Number","Total","Pneumonia, organism unspecified",41,FALSE
2012,"Liechtenstein","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",2,FALSE
2012,"Liechtenstein","Number","Total","Other sepsis",1,FALSE
2012,"Liechtenstein","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1,TRUE
2012,"Liechtenstein","Number","Total","Pneumonia, organism unspecified",1,FALSE
2012,"Norway","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",629,FALSE
2012,"Norway","Number","Total","Other sepsis",392,FALSE
2012,"Norway","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",848,FALSE
2012,"Norway","Number","Total","Pneumonia, organism unspecified",1591,FALSE
2012,"Switzerland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",607,FALSE
2012,"Switzerland","Number","Total","Other sepsis",168,FALSE
2012,"Switzerland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1483,FALSE
2012,"Switzerland","Number","Total","Pneumonia, organism unspecified",1218,FALSE
2012,"United Kingdom","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",3612,FALSE
2012,"United Kingdom","Number","Total","Other sepsis",2354,FALSE
2012,"United Kingdom","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",17092,FALSE
2012,"United Kingdom","Number","Total","Pneumonia, organism unspecified",28945,FALSE
2012,"Serbia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",310,FALSE
2012,"Serbia","Number","Total","Other sepsis",144,FALSE
2012,"Serbia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1108,FALSE
2012,"Serbia","Number","Total","Pneumonia, organism unspecified",895,FALSE
2012,"Turkey","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",2261,FALSE
2012,"Turkey","Number","Total","Other sepsis",3343,FALSE
2012,"Turkey","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",4192,FALSE
2012,"Turkey","Number","Total","Pneumonia, organism unspecified",4218,FALSE
2013,"European Union - 27 countries (from 2020)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",38710,FALSE
2013,"European Union - 27 countries (from 2020)","Number","Total","Other sepsis",36898,FALSE
2013,"European Union - 27 countries (from 2020)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",100195,FALSE
2013,"European Union - 27 countries (from 2020)","Number","Total","Pneumonia, organism unspecified",89248,FALSE
2013,"European Union - 28 countries (2013-2020)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",42387,FALSE
2013,"European Union - 28 countries (2013-2020)","Number","Total","Other sepsis",39462,FALSE
2013,"European Union - 28 countries (2013-2020)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",117517,FALSE
2013,"European Union - 28 countries (2013-2020)","Number","Total","Pneumonia, organism unspecified",118184,FALSE
2013,"Belgium","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",1464,FALSE
2013,"Belgium","Number","Total","Other sepsis",1444,FALSE
2013,"Belgium","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",3347,FALSE
2013,"Belgium","Number","Total","Pneumonia, organism unspecified",3622,FALSE
2013,"Bulgaria","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",269,FALSE
2013,"Bulgaria","Number","Total","Other sepsis",245,FALSE
2013,"Bulgaria","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1283,FALSE
2013,"Bulgaria","Number","Total","Pneumonia, organism unspecified",1103,FALSE
2013,"Czechia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",546,FALSE
2013,"Czechia","Number","Total","Other sepsis",1009,FALSE
2013,"Czechia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",2675,FALSE
2013,"Czechia","Number","Total","Pneumonia, organism unspecified",1941,FALSE
2013,"Denmark","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",557,FALSE
2013,"Denmark","Number","Total","Other sepsis",424,FALSE
2013,"Denmark","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",2004,FALSE
2013,"Denmark","Number","Total","Pneumonia, organism unspecified",814,FALSE
2013,"Germany (until 1990 former territory of the FRG)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",10627,FALSE
2013,"Germany (until 1990 former territory of the FRG)","Number","Total","Other sepsis",7901,FALSE
2013,"Germany (until 1990 former territory of the FRG)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",17419,FALSE
2013,"Germany (until 1990 former territory of the FRG)","Number","Total","Pneumonia, organism unspecified",18820,FALSE
2013,"Estonia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",108,FALSE
2013,"Estonia","Number","Total","Other sepsis",7,FALSE
2013,"Estonia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",408,FALSE
2013,"Estonia","Number","Total","Pneumonia, organism unspecified",64,FALSE
2013,"Ireland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",155,FALSE
2013,"Ireland","Number","Total","Other sepsis",90,FALSE
2013,"Ireland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",642,FALSE
2013,"Ireland","Number","Total","Pneumonia, organism unspecified",967,FALSE
2013,"Greece","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",326,FALSE
2013,"Greece","Number","Total","Other sepsis",4079,FALSE
2013,"Greece","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",6662,FALSE
2013,"Greece","Number","Total","Pneumonia, organism unspecified",1644,FALSE
2013,"Spain","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",3324,FALSE
2013,"Spain","Number","Total","Other sepsis",2884,FALSE
2013,"Spain","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",12386,FALSE
2013,"Spain","Number","Total","Pneumonia, organism unspecified",7976,FALSE
2013,"France","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",5844,FALSE
2013,"France","Number","Total","Other sepsis",5277,FALSE
2013,"France","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",13122,FALSE
2013,"France","Number","Total","Pneumonia, organism unspecified",11388,FALSE
2013,"France (metropolitan)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",5677,FALSE
2013,"France (metropolitan)","Number","Total","Other sepsis",5139,FALSE
2013,"France (metropolitan)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",12833,FALSE
2013,"France (metropolitan)","Number","Total","Pneumonia, organism unspecified",11223,FALSE
2013,"Croatia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",140,FALSE
2013,"Croatia","Number","Total","Other sepsis",173,FALSE
2013,"Croatia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",766,FALSE
2013,"Croatia","Number","Total","Pneumonia, organism unspecified",274,FALSE
2013,"Italy","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",5653,FALSE
2013,"Italy","Number","Total","Other sepsis",7163,FALSE
2013,"Italy","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",10771,FALSE
2013,"Italy","Number","Total","Pneumonia, organism unspecified",8852,FALSE
2013,"Cyprus","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",37,FALSE
2013,"Cyprus","Number","Total","Other sepsis",50,FALSE
2013,"Cyprus","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",141,FALSE
2013,"Cyprus","Number","Total","Pneumonia, organism unspecified",59,FALSE
2013,"Latvia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",332,FALSE
2013,"Latvia","Number","Total","Other sepsis",22,FALSE
2013,"Latvia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",483,FALSE
2013,"Latvia","Number","Total","Pneumonia, organism unspecified",379,FALSE
2013,"Lithuania","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",334,FALSE
2013,"Lithuania","Number","Total","Other sepsis",299,FALSE
2013,"Lithuania","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",723,FALSE
2013,"Lithuania","Number","Total","Pneumonia, organism unspecified",528,FALSE
2013,"Luxembourg","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",34,FALSE
2013,"Luxembourg","Number","Total","Other sepsis",53,FALSE
2013,"Luxembourg","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",87,FALSE
2013,"Luxembourg","Number","Total","Pneumonia, organism unspecified",65,FALSE
2013,"Hungary","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",848,FALSE
2013,"Hungary","Number","Total","Other sepsis",56,FALSE
2013,"Hungary","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",3189,FALSE
2013,"Hungary","Number","Total","Pneumonia, organism unspecified",265,FALSE
2013,"Malta","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",16,FALSE
2013,"Malta","Number","Total","Other sepsis",8,FALSE
2013,"Malta","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",138,FALSE
2013,"Malta","Number","Total","Pneumonia, organism unspecified",135,FALSE
2013,"Netherlands","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",1551,FALSE
2013,"Netherlands","Number","Total","Other sepsis",1667,FALSE
2013,"Netherlands","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",3106,FALSE
2013,"Netherlands","Number","Total","Pneumonia, organism unspecified",3416,FALSE
2013,"Austria","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",639,FALSE
2013,"Austria","Number","Total","Other sepsis",104,FALSE
2013,"Austria","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1136,FALSE
2013,"Austria","Number","Total","Pneumonia, organism unspecified",714,FALSE
2013,"Poland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",1470,FALSE
2013,"Poland","Number","Total","Other sepsis",498,FALSE
2013,"Poland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",7879,FALSE
2013,"Poland","Number","Total","Pneumonia, organism unspecified",11212,FALSE
2013,"Portugal","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",1235,FALSE
2013,"Portugal","Number","Total","Other sepsis",1204,FALSE
2013,"Portugal","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",4510,FALSE
2013,"Portugal","Number","Total","Pneumonia, organism unspecified",5343,FALSE
2013,"Romania","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",1554,FALSE
2013,"Romania","Number","Total","Other sepsis",800,FALSE
2013,"Romania","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",3125,FALSE
2013,"Romania","Number","Total","Pneumonia, organism unspecified",5381,FALSE
2013,"Slovenia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",49,FALSE
2013,"Slovenia","Number","Total","Other sepsis",62,FALSE
2013,"Slovenia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",549,FALSE
2013,"Slovenia","Number","Total","Pneumonia, organism unspecified",610,FALSE
2013,"Slovakia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",109,FALSE
2013,"Slovakia","Number","Total","Other sepsis",275,FALSE
2013,"Slovakia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1526,FALSE
2013,"Slovakia","Number","Total","Pneumonia, organism unspecified",1475,FALSE
2013,"Finland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",191,FALSE
2013,"Finland","Number","Total","Other sepsis",119,FALSE
2013,"Finland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",729,FALSE
2013,"Finland","Number","Total","Pneumonia, organism unspecified",219,FALSE
2013,"Sweden","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",1298,FALSE
2013,"Sweden","Number","Total","Other sepsis",985,FALSE
2013,"Sweden","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1389,FALSE
2013,"Sweden","Number","Total","Pneumonia, organism unspecified",1982,FALSE
2013,"Iceland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",12,FALSE
2013,"Iceland","Number","Total","Other sepsis",7,FALSE
