"TIME","GEO","OWNER","UNIT","Value","Flag and Footnotes"
"2012","Poland","For-profit private ownership","Number",":",""
"2012","Poland","For-profit private ownership","Inhabitants per ...",":",""
"2012","Poland","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2012","Portugal","Public ownership","Number","25 786.00",""
"2012","Portugal","Public ownership","Inhabitants per ...","407.77",""
"2012","Portugal","Public ownership","Per hundred thousand inhabitants","245.23",""
"2012","Portugal","Not-for-profit private ownership","Number","7 014.00",""
"2012","Portugal","Not-for-profit private ownership","Inhabitants per ...","1 499.12",""
"2012","Portugal","Not-for-profit private ownership","Per hundred thousand inhabitants","66.71",""
"2012","Portugal","For-profit private ownership","Number","3 015.00",""
"2012","Portugal","For-profit private ownership","Inhabitants per ...","3 487.51",""
"2012","Portugal","For-profit private ownership","Per hundred thousand inhabitants","28.67",""
"2012","Romania","Public ownership","Number","127 560.00",""
"2012","Romania","Public ownership","Inhabitants per ...","157.24",""
"2012","Romania","Public ownership","Per hundred thousand inhabitants","635.95",""
"2012","Romania","Not-for-profit private ownership","Number","260.00",""
"2012","Romania","Not-for-profit private ownership","Inhabitants per ...","77 146.29",""
"2012","Romania","Not-for-profit private ownership","Per hundred thousand inhabitants","1.30",""
"2012","Romania","For-profit private ownership","Number","4 483.00",""
"2012","Romania","For-profit private ownership","Inhabitants per ...","4 474.24",""
"2012","Romania","For-profit private ownership","Per hundred thousand inhabitants","22.35",""
"2012","Slovenia","Public ownership","Number","9 247.00",""
"2012","Slovenia","Public ownership","Inhabitants per ...","222.47",""
"2012","Slovenia","Public ownership","Per hundred thousand inhabitants","449.50",""
"2012","Slovenia","Not-for-profit private ownership","Number","0.00",""
"2012","Slovenia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2012","Slovenia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2012","Slovenia","For-profit private ownership","Number","102.00",""
"2012","Slovenia","For-profit private ownership","Inhabitants per ...","20 168.22",""
"2012","Slovenia","For-profit private ownership","Per hundred thousand inhabitants","4.96",""
"2012","Finland","Public ownership","Number","27 352.00",""
"2012","Finland","Public ownership","Inhabitants per ...","197.94",""
"2012","Finland","Public ownership","Per hundred thousand inhabitants","505.21",""
"2012","Finland","Not-for-profit private ownership","Number",":",""
"2012","Finland","Not-for-profit private ownership","Inhabitants per ...",":",""
"2012","Finland","Not-for-profit private ownership","Per hundred thousand inhabitants",":",""
"2012","Finland","For-profit private ownership","Number","1 333.00",""
"2012","Finland","For-profit private ownership","Inhabitants per ...","4 061.49",""
"2012","Finland","For-profit private ownership","Per hundred thousand inhabitants","24.62",""
"2012","Iceland","Public ownership","Number","1 041.00",""
"2012","Iceland","Public ownership","Inhabitants per ...","308.08",""
"2012","Iceland","Public ownership","Per hundred thousand inhabitants","324.59",""
"2012","Iceland","Not-for-profit private ownership","Number","0.00",""
"2012","Iceland","Not-for-profit private ownership","Inhabitants per ...",":",""
"2012","Iceland","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2012","Iceland","For-profit private ownership","Number","0.00",""
"2012","Iceland","For-profit private ownership","Inhabitants per ...",":",""
"2012","Iceland","For-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2012","Liechtenstein","Public ownership","Number","74.00",""
"2012","Liechtenstein","Public ownership","Inhabitants per ...","495.36",""
"2012","Liechtenstein","Public ownership","Per hundred thousand inhabitants","201.87",""
"2012","Liechtenstein","Not-for-profit private ownership","Number","0.00",""
"2012","Liechtenstein","Not-for-profit private ownership","Inhabitants per ...",":",""
"2012","Liechtenstein","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2012","Liechtenstein","For-profit private ownership","Number","4.00",""
"2012","Liechtenstein","For-profit private ownership","Inhabitants per ...","9 164.13",""
"2012","Liechtenstein","For-profit private ownership","Per hundred thousand inhabitants","10.91",""
"2012","Norway","Public ownership","Number","15 665.00",""
"2012","Norway","Public ownership","Inhabitants per ...","320.37",""
"2012","Norway","Public ownership","Per hundred thousand inhabitants","312.14",""
"2012","Norway","Not-for-profit private ownership","Number",":",""
"2012","Norway","Not-for-profit private ownership","Inhabitants per ...",":",""
"2012","Norway","Not-for-profit private ownership","Per hundred thousand inhabitants",":",""
"2012","Norway","For-profit private ownership","Number",":",""
"2012","Norway","For-profit private ownership","Inhabitants per ...",":",""
"2012","Norway","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2012","United Kingdom","Public ownership","Number","178 841.00",""
"2012","United Kingdom","Public ownership","Inhabitants per ...","356.18",""
"2012","United Kingdom","Public ownership","Per hundred thousand inhabitants","280.75",""
"2012","United Kingdom","Not-for-profit private ownership","Number",":",""
"2012","United Kingdom","Not-for-profit private ownership","Inhabitants per ...",":",""
"2012","United Kingdom","Not-for-profit private ownership","Per hundred thousand inhabitants",":",""
"2012","United Kingdom","For-profit private ownership","Number",":",""
"2012","United Kingdom","For-profit private ownership","Inhabitants per ...",":",""
"2012","United Kingdom","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2012","Montenegro","Public ownership","Number","2 466.00",""
"2012","Montenegro","Public ownership","Inhabitants per ...","251.66",""
"2012","Montenegro","Public ownership","Per hundred thousand inhabitants","397.36",""
"2012","Montenegro","Not-for-profit private ownership","Number","0.00",""
"2012","Montenegro","Not-for-profit private ownership","Inhabitants per ...",":",""
"2012","Montenegro","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2012","Montenegro","For-profit private ownership","Number",":",""
"2012","Montenegro","For-profit private ownership","Inhabitants per ...",":",""
"2012","Montenegro","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2012","North Macedonia","Public ownership","Number","8 806.00",""
"2012","North Macedonia","Public ownership","Inhabitants per ...","234.05",""
"2012","North Macedonia","Public ownership","Per hundred thousand inhabitants","427.26",""
"2012","North Macedonia","Not-for-profit private ownership","Number","0.00",""
"2012","North Macedonia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2012","North Macedonia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2012","North Macedonia","For-profit private ownership","Number","270.00",""
"2012","North Macedonia","For-profit private ownership","Inhabitants per ...","7 633.50",""
"2012","North Macedonia","For-profit private ownership","Per hundred thousand inhabitants","13.10",""
"2012","Serbia","Public ownership","Number","39 171.00",""
"2012","Serbia","Public ownership","Inhabitants per ...","183.79",""
"2012","Serbia","Public ownership","Per hundred thousand inhabitants","544.11",""
"2012","Serbia","Not-for-profit private ownership","Number","0.00",""
"2012","Serbia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2012","Serbia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2012","Serbia","For-profit private ownership","Number",":",""
"2012","Serbia","For-profit private ownership","Inhabitants per ...",":",""
"2012","Serbia","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2012","Turkey","Public ownership","Number","161 058.00",""
"2012","Turkey","Public ownership","Inhabitants per ...","466.76",""
"2012","Turkey","Public ownership","Per hundred thousand inhabitants","214.24",""
"2012","Turkey","Not-for-profit private ownership","Number","0.00",""
"2012","Turkey","Not-for-profit private ownership","Inhabitants per ...",":",""
"2012","Turkey","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2012","Turkey","For-profit private ownership","Number","39 014.00",""
"2012","Turkey","For-profit private ownership","Inhabitants per ...","1 926.89",""
"2012","Turkey","For-profit private ownership","Per hundred thousand inhabitants","51.90",""
"2013","Belgium","Public ownership","Number","17 979.00",""
"2013","Belgium","Public ownership","Inhabitants per ...","620.69",""
"2013","Belgium","Public ownership","Per hundred thousand inhabitants","161.11",""
"2013","Belgium","Not-for-profit private ownership","Number","48 169.00",""
"2013","Belgium","Not-for-profit private ownership","Inhabitants per ...","231.67",""
"2013","Belgium","Not-for-profit private ownership","Per hundred thousand inhabitants","431.64",""
"2013","Belgium","For-profit private ownership","Number",":",""
"2013","Belgium","For-profit private ownership","Inhabitants per ...",":",""
"2013","Belgium","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2013","Bulgaria","Public ownership","Number","41 037.00",""
"2013","Bulgaria","Public ownership","Inhabitants per ...","177.04",""
"2013","Bulgaria","Public ownership","Per hundred thousand inhabitants","564.85",""
"2013","Bulgaria","Not-for-profit private ownership","Number","0.00",""
"2013","Bulgaria","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Bulgaria","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2013","Bulgaria","For-profit private ownership","Number","8 485.00",""
"2013","Bulgaria","For-profit private ownership","Inhabitants per ...","856.23",""
"2013","Bulgaria","For-profit private ownership","Per hundred thousand inhabitants","116.79",""
"2013","Czechia","Public ownership","Number","59 999.00",""
"2013","Czechia","Public ownership","Inhabitants per ...","175.24",""
"2013","Czechia","Public ownership","Per hundred thousand inhabitants","570.64",""
"2013","Czechia","Not-for-profit private ownership","Number","253.00",""
"2013","Czechia","Not-for-profit private ownership","Inhabitants per ...","41 558.39",""
"2013","Czechia","Not-for-profit private ownership","Per hundred thousand inhabitants","2.41",""
"2013","Czechia","For-profit private ownership","Number","10 210.00",""
"2013","Czechia","For-profit private ownership","Inhabitants per ...","1 029.80",""
"2013","Czechia","For-profit private ownership","Per hundred thousand inhabitants","97.11",""
"2013","Denmark","Public ownership","Number","16 316.00",""
"2013","Denmark","Public ownership","Inhabitants per ...","344.14",""
"2013","Denmark","Public ownership","Per hundred thousand inhabitants","290.58",""
"2013","Denmark","Not-for-profit private ownership","Number","570.00",""
"2013","Denmark","Not-for-profit private ownership","Inhabitants per ...","9 850.76",""
"2013","Denmark","Not-for-profit private ownership","Per hundred thousand inhabitants","10.15",""
"2013","Denmark","For-profit private ownership","Number","355.00",""
"2013","Denmark","For-profit private ownership","Inhabitants per ...","15 816.71",""
"2013","Denmark","For-profit private ownership","Per hundred thousand inhabitants","6.32",""
"2013","Germany (until 1990 former territory of the FRG)","Public ownership","Number","271 557.00",""
"2013","Germany (until 1990 former territory of the FRG)","Public ownership","Inhabitants per ...","296.97",""
"2013","Germany (until 1990 former territory of the FRG)","Public ownership","Per hundred thousand inhabitants","336.73",""
"2013","Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Number","197 267.00",""
"2013","Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Inhabitants per ...","408.81",""
"2013","Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Per hundred thousand inhabitants","244.61",""
"2013","Germany (until 1990 former territory of the FRG)","For-profit private ownership","Number","198 736.00",""
"2013","Germany (until 1990 former territory of the FRG)","For-profit private ownership","Inhabitants per ...","405.79",""
"2013","Germany (until 1990 former territory of the FRG)","For-profit private ownership","Per hundred thousand inhabitants","246.43",""
"2013","Estonia","Public ownership","Number","6 037.00","b"
"2013","Estonia","Public ownership","Inhabitants per ...","218.32","b"
"2013","Estonia","Public ownership","Per hundred thousand inhabitants","458.04","b"
"2013","Estonia","Not-for-profit private ownership","Number","182.00","b"
"2013","Estonia","Not-for-profit private ownership","Inhabitants per ...","7 241.74","b"
"2013","Estonia","Not-for-profit private ownership","Per hundred thousand inhabitants","13.81","b"
"2013","Estonia","For-profit private ownership","Number","378.00","b"
"2013","Estonia","For-profit private ownership","Inhabitants per ...","3 486.76","b"
"2013","Estonia","For-profit private ownership","Per hundred thousand inhabitants","28.68","b"
"2013","Greece","Public ownership","Number","30 322.00",""
"2013","Greece","Public ownership","Inhabitants per ...","361.63",""
"2013","Greece","Public ownership","Per hundred thousand inhabitants","276.53",""
"2013","Greece","Not-for-profit private ownership","Number","924.00",""
"2013","Greece","Not-for-profit private ownership","Inhabitants per ...","11 867.11",""
"2013","Greece","Not-for-profit private ownership","Per hundred thousand inhabitants","8.43",""
"2013","Greece","For-profit private ownership","Number","15 264.00",""
"2013","Greece","For-profit private ownership","Inhabitants per ...","718.37",""
"2013","Greece","For-profit private ownership","Per hundred thousand inhabitants","139.20",""
"2013","Spain","Public ownership","Number","94 901.00",""
"2013","Spain","Public ownership","Inhabitants per ...","491.25",""
"2013","Spain","Public ownership","Per hundred thousand inhabitants","203.56",""
"2013","Spain","Not-for-profit private ownership","Number","17 243.00",""
"2013","Spain","Not-for-profit private ownership","Inhabitants per ...","2 703.71",""
"2013","Spain","Not-for-profit private ownership","Per hundred thousand inhabitants","36.99",""
"2013","Spain","For-profit private ownership","Number","26 009.00",""
"2013","Spain","For-profit private ownership","Inhabitants per ...","1 792.46",""
"2013","Spain","For-profit private ownership","Per hundred thousand inhabitants","55.79",""
"2013","France","Public ownership","Number","256 957.00",""
"2013","France","Public ownership","Inhabitants per ...","256.40",""
"2013","France","Public ownership","Per hundred thousand inhabitants","390.02",""
"2013","France","Not-for-profit private ownership","Number","58 241.00",""
"2013","France","Not-for-profit private ownership","Inhabitants per ...","1 131.22",""
"2013","France","Not-for-profit private ownership","Per hundred thousand inhabitants","88.40",""
"2013","France","For-profit private ownership","Number","98 008.00",""
"2013","France","For-profit private ownership","Inhabitants per ...","672.22",""
"2013","France","For-profit private ownership","Per hundred thousand inhabitants","148.76",""
"2013","Croatia","Public ownership","Number","24 516.00",""
"2013","Croatia","Public ownership","Inhabitants per ...","173.54",""
"2013","Croatia","Public ownership","Per hundred thousand inhabitants","576.24",""
"2013","Croatia","Not-for-profit private ownership","Number","140.00",""
"2013","Croatia","Not-for-profit private ownership","Inhabitants per ...","30 389.10",""
"2013","Croatia","Not-for-profit private ownership","Per hundred thousand inhabitants","3.29",""
"2013","Croatia","For-profit private ownership","Number","277.00",""
"2013","Croatia","For-profit private ownership","Inhabitants per ...","15 359.11",""
"2013","Croatia","For-profit private ownership","Per hundred thousand inhabitants","6.51",""
"2013","Italy","Public ownership","Number","135 606.00",""
"2013","Italy","Public ownership","Inhabitants per ...","444.18",""
"2013","Italy","Public ownership","Per hundred thousand inhabitants","225.13",""
"2013","Italy","Not-for-profit private ownership","Number","7 597.00",""
"2013","Italy","Not-for-profit private ownership","Inhabitants per ...","7 928.65",""
"2013","Italy","Not-for-profit private ownership","Per hundred thousand inhabitants","12.61",""
"2013","Italy","For-profit private ownership","Number","56 271.00",""
"2013","Italy","For-profit private ownership","Inhabitants per ...","1 070.43",""
"2013","Italy","For-profit private ownership","Per hundred thousand inhabitants","93.42",""
"2013","Cyprus","Public ownership","Number","1 525.00",""
"2013","Cyprus","Public ownership","Inhabitants per ...","565.21",""
"2013","Cyprus","Public ownership","Per hundred thousand inhabitants","176.93",""
"2013","Cyprus","Not-for-profit private ownership","Number","0.00",""
"2013","Cyprus","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Cyprus","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2013","Cyprus","For-profit private ownership","Number","1 413.00",""
"2013","Cyprus","For-profit private ownership","Inhabitants per ...","610.01",""
"2013","Cyprus","For-profit private ownership","Per hundred thousand inhabitants","163.93",""
"2013","Latvia","Public ownership","Number","10 597.00",""
"2013","Latvia","Public ownership","Inhabitants per ...","189.93",""
"2013","Latvia","Public ownership","Per hundred thousand inhabitants","526.52",""
"2013","Latvia","Not-for-profit private ownership","Number","0.00",""
"2013","Latvia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Latvia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2013","Latvia","For-profit private ownership","Number","1 076.00",""
"2013","Latvia","For-profit private ownership","Inhabitants per ...","1 870.49",""
"2013","Latvia","For-profit private ownership","Per hundred thousand inhabitants","53.46",""
"2013","Lithuania","Public ownership","Number","21 387.00",""
"2013","Lithuania","Public ownership","Inhabitants per ...","138.29",""
"2013","Lithuania","Public ownership","Per hundred thousand inhabitants","723.10",""
"2013","Lithuania","Not-for-profit private ownership","Number","0.00",""
"2013","Lithuania","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Lithuania","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2013","Lithuania","For-profit private ownership","Number","241.00",""
"2013","Lithuania","For-profit private ownership","Inhabitants per ...","12 272.57",""
"2013","Lithuania","For-profit private ownership","Per hundred thousand inhabitants","8.15",""
"2013","Hungary","Public ownership","Number",":",""
"2013","Hungary","Public ownership","Inhabitants per ...",":",""
"2013","Hungary","Public ownership","Per hundred thousand inhabitants",":",""
"2013","Hungary","Not-for-profit private ownership","Number",":",""
"2013","Hungary","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Hungary","Not-for-profit private ownership","Per hundred thousand inhabitants",":",""
"2013","Hungary","For-profit private ownership","Number",":",""
"2013","Hungary","For-profit private ownership","Inhabitants per ...",":",""
"2013","Hungary","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2013","Malta","Public ownership","Number","1 913.00",""
"2013","Malta","Public ownership","Inhabitants per ...","222.67",""
"2013","Malta","Public ownership","Per hundred thousand inhabitants","449.10",""
"2013","Malta","Not-for-profit private ownership","Number","0.00",""
"2013","Malta","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Malta","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2013","Malta","For-profit private ownership","Number","121.00",""
"2013","Malta","For-profit private ownership","Inhabitants per ...","3 520.38",""
"2013","Malta","For-profit private ownership","Per hundred thousand inhabitants","28.41",""
"2013","Netherlands","Public ownership","Number",":",""
"2013","Netherlands","Public ownership","Inhabitants per ...",":",""
"2013","Netherlands","Public ownership","Per hundred thousand inhabitants",":",""
"2013","Netherlands","Not-for-profit private ownership","Number","63 080.00",""
"2013","Netherlands","Not-for-profit private ownership","Inhabitants per ...","266.40",""
"2013","Netherlands","Not-for-profit private ownership","Per hundred thousand inhabitants","375.38",""
"2013","Netherlands","For-profit private ownership","Number",":",""
"2013","Netherlands","For-profit private ownership","Inhabitants per ...",":",""
"2013","Netherlands","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2013","Austria","Public ownership","Number","45 029.00",""
"2013","Austria","Public ownership","Inhabitants per ...","188.32",""
"2013","Austria","Public ownership","Per hundred thousand inhabitants","531.01",""
"2013","Austria","Not-for-profit private ownership","Number","11 318.00",""
"2013","Austria","Not-for-profit private ownership","Inhabitants per ...","749.23",""
"2013","Austria","Not-for-profit private ownership","Per hundred thousand inhabitants","133.47",""
"2013","Austria","For-profit private ownership","Number","8 478.00",""
"2013","Austria","For-profit private ownership","Inhabitants per ...","1 000.22",""
"2013","Austria","For-profit private ownership","Per hundred thousand inhabitants","99.98",""
"2013","Poland","Public ownership","Number",":",""
"2013","Poland","Public ownership","Inhabitants per ...",":",""
"2013","Poland","Public ownership","Per hundred thousand inhabitants",":",""
"2013","Poland","Not-for-profit private ownership","Number",":",""
"2013","Poland","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Poland","Not-for-profit private ownership","Per hundred thousand inhabitants",":",""
"2013","Poland","For-profit private ownership","Number",":",""
"2013","Poland","For-profit private ownership","Inhabitants per ...",":",""
"2013","Poland","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2013","Portugal","Public ownership","Number","25 004.00",""
"2013","Portugal","Public ownership","Inhabitants per ...","418.22",""
"2013","Portugal","Public ownership","Per hundred thousand inhabitants","239.11",""
"2013","Portugal","Not-for-profit private ownership","Number","7 046.00",""
"2013","Portugal","Not-for-profit private ownership","Inhabitants per ...","1 484.15",""
"2013","Portugal","Not-for-profit private ownership","Per hundred thousand inhabitants","67.38",""
"2013","Portugal","For-profit private ownership","Number","3 428.00",""
"2013","Portugal","For-profit private ownership","Inhabitants per ...","3 050.55",""
"2013","Portugal","For-profit private ownership","Per hundred thousand inhabitants","32.78",""
"2013","Romania","Public ownership","Number","127 716.00",""
"2013","Romania","Public ownership","Inhabitants per ...","156.47",""
"2013","Romania","Public ownership","Per hundred thousand inhabitants","639.10",""
"2013","Romania","Not-for-profit private ownership","Number","345.00",""
"2013","Romania","Not-for-profit private ownership","Inhabitants per ...","57 923.75",""
"2013","Romania","Not-for-profit private ownership","Per hundred thousand inhabitants","1.73",""
"2013","Romania","For-profit private ownership","Number","5 293.00",""
"2013","Romania","For-profit private ownership","Inhabitants per ...","3 775.49",""
"2013","Romania","For-profit private ownership","Per hundred thousand inhabitants","26.49",""
"2013","Slovenia","Public ownership","Number","9 275.00",""
"2013","Slovenia","Public ownership","Inhabitants per ...","222.10",""
"2013","Slovenia","Public ownership","Per hundred thousand inhabitants","450.25",""
"2013","Slovenia","Not-for-profit private ownership","Number","0.00",""
"2013","Slovenia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Slovenia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2013","Slovenia","For-profit private ownership","Number","102.00",""
"2013","Slovenia","For-profit private ownership","Inhabitants per ...","20 195.62",""
"2013","Slovenia","For-profit private ownership","Per hundred thousand inhabitants","4.95",""
"2013","Finland","Public ownership","Number","25 395.00",""
"2013","Finland","Public ownership","Inhabitants per ...","214.17",""
"2013","Finland","Public ownership","Per hundred thousand inhabitants","466.91",""
"2013","Finland","Not-for-profit private ownership","Number",":",""
"2013","Finland","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Finland","Not-for-profit private ownership","Per hundred thousand inhabitants",":",""
"2013","Finland","For-profit private ownership","Number","1 105.00",""
"2013","Finland","For-profit private ownership","Inhabitants per ...","4 922.15",""
"2013","Finland","For-profit private ownership","Per hundred thousand inhabitants","20.32",""
"2013","Iceland","Public ownership","Number","1 043.00",""
"2013","Iceland","Public ownership","Inhabitants per ...","310.42",""
"2013","Iceland","Public ownership","Per hundred thousand inhabitants","322.15",""
"2013","Iceland","Not-for-profit private ownership","Number","0.00",""
"2013","Iceland","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Iceland","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2013","Iceland","For-profit private ownership","Number","0.00",""
"2013","Iceland","For-profit private ownership","Inhabitants per ...",":",""
"2013","Iceland","For-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2013","Liechtenstein","Public ownership","Number","57.00",""
"2013","Liechtenstein","Public ownership","Inhabitants per ...","648.83",""
"2013","Liechtenstein","Public ownership","Per hundred thousand inhabitants","154.12",""
"2013","Liechtenstein","Not-for-profit private ownership","Number","0.00",""
"2013","Liechtenstein","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Liechtenstein","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2013","Liechtenstein","For-profit private ownership","Number","4.00",""
"2013","Liechtenstein","For-profit private ownership","Inhabitants per ...","9 245.88",""
"2013","Liechtenstein","For-profit private ownership","Per hundred thousand inhabitants","10.82",""
"2013","Norway","Public ownership","Number","15 206.00",""
"2013","Norway","Public ownership","Inhabitants per ...","334.05",""
"2013","Norway","Public ownership","Per hundred thousand inhabitants","299.35",""
"2013","Norway","Not-for-profit private ownership","Number",":",""
"2013","Norway","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Norway","Not-for-profit private ownership","Per hundred thousand inhabitants",":",""
"2013","Norway","For-profit private ownership","Number",":",""
"2013","Norway","For-profit private ownership","Inhabitants per ...",":",""
"2013","Norway","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2013","United Kingdom","Public ownership","Number","176 791.00",""
"2013","United Kingdom","Public ownership","Inhabitants per ...","362.73",""
"2013","United Kingdom","Public ownership","Per hundred thousand inhabitants","275.68",""
"2013","United Kingdom","Not-for-profit private ownership","Number",":",""
"2013","United Kingdom","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","United Kingdom","Not-for-profit private ownership","Per hundred thousand inhabitants",":",""
"2013","United Kingdom","For-profit private ownership","Number",":",""
"2013","United Kingdom","For-profit private ownership","Inhabitants per ...",":",""
"2013","United Kingdom","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2013","Montenegro","Public ownership","Number","2 416.00",""
"2013","Montenegro","Public ownership","Inhabitants per ...","257.12",""
"2013","Montenegro","Public ownership","Per hundred thousand inhabitants","388.92",""
"2013","Montenegro","Not-for-profit private ownership","Number","0.00",""
"2013","Montenegro","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Montenegro","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2013","Montenegro","For-profit private ownership","Number",":",""
"2013","Montenegro","For-profit private ownership","Inhabitants per ...",":",""
"2013","Montenegro","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2013","North Macedonia","Public ownership","Number","8 905.00",""
"2013","North Macedonia","Public ownership","Inhabitants per ...","231.78",""
"2013","North Macedonia","Public ownership","Per hundred thousand inhabitants","431.44",""
"2013","North Macedonia","Not-for-profit private ownership","Number","0.00",""
"2013","North Macedonia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","North Macedonia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2013","North Macedonia","For-profit private ownership","Number","272.00",""
"2013","North Macedonia","For-profit private ownership","Inhabitants per ...","7 588.35",""
"2013","North Macedonia","For-profit private ownership","Per hundred thousand inhabitants","13.18",""
"2013","Serbia","Public ownership","Number","39 396.00",""
"2013","Serbia","Public ownership","Inhabitants per ...","181.85",""
"2013","Serbia","Public ownership","Per hundred thousand inhabitants","549.91",""
"2013","Serbia","Not-for-profit private ownership","Number","0.00",""
"2013","Serbia","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Serbia","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2013","Serbia","For-profit private ownership","Number",":",""
"2013","Serbia","For-profit private ownership","Inhabitants per ...",":",""
"2013","Serbia","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2013","Turkey","Public ownership","Number","160 594.00",""
"2013","Turkey","Public ownership","Inhabitants per ...","474.16",""
"2013","Turkey","Public ownership","Per hundred thousand inhabitants","210.90",""
"2013","Turkey","Not-for-profit private ownership","Number","0.00",""
"2013","Turkey","Not-for-profit private ownership","Inhabitants per ...",":",""
"2013","Turkey","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2013","Turkey","For-profit private ownership","Number","41 437.00",""
"2013","Turkey","For-profit private ownership","Inhabitants per ...","1 837.67",""
"2013","Turkey","For-profit private ownership","Per hundred thousand inhabitants","54.42",""
"2014","Belgium","Public ownership","Number","17 606.00",""
"2014","Belgium","Public ownership","Inhabitants per ...","636.66",""
"2014","Belgium","Public ownership","Per hundred thousand inhabitants","157.07",""
"2014","Belgium","Not-for-profit private ownership","Number","47 984.00",""
"2014","Belgium","Not-for-profit private ownership","Inhabitants per ...","233.60",""
"2014","Belgium","Not-for-profit private ownership","Per hundred thousand inhabitants","428.08",""
"2014","Belgium","For-profit private ownership","Number",":",""
"2014","Belgium","For-profit private ownership","Inhabitants per ...",":",""
"2014","Belgium","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2014","Bulgaria","Public ownership","Number","41 232.00",""
"2014","Bulgaria","Public ownership","Inhabitants per ...","175.20",""
"2014","Bulgaria","Public ownership","Per hundred thousand inhabitants","570.77",""
"2014","Bulgaria","Not-for-profit private ownership","Number","0.00",""
"2014","Bulgaria","Not-for-profit private ownership","Inhabitants per ...",":",""
"2014","Bulgaria","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2014","Bulgaria","For-profit private ownership","Number","10 273.00",""
"2014","Bulgaria","For-profit private ownership","Inhabitants per ...","703.20",""
"2014","Bulgaria","For-profit private ownership","Per hundred thousand inhabitants","142.21",""
"2014","Czechia","Public ownership","Number","59 787.00",""
"2014","Czechia","Public ownership","Inhabitants per ...","176.05","b"
"2014","Czechia","Public ownership","Per hundred thousand inhabitants","568.03","b"
"2014","Czechia","Not-for-profit private ownership","Number","253.00",""
"2014","Czechia","Not-for-profit private ownership","Inhabitants per ...","41 602.16",""
"2014","Czechia","Not-for-profit private ownership","Per hundred thousand inhabitants","2.40",""
"2014","Czechia","For-profit private ownership","Number","10 230.00",""
