"TIME","GEO","UNIT","FACILITY","ICHA_HP","Value","Flag and Footnotes"
"2012","Bulgaria","Number","Angiography units","Hospitals","59.00",""
"2012","Bulgaria","Number","Angiography units","Providers of ambulatory health care","14.00",""
"2012","Bulgaria","Number","Lithotriptors","Hospitals and providers of ambulatory health care","63.00",""
"2012","Bulgaria","Number","Lithotriptors","Hospitals","39.00",""
"2012","Bulgaria","Number","Lithotriptors","Providers of ambulatory health care","24.00",""
"2012","Bulgaria","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","31 088.89",""
"2012","Bulgaria","Inhabitants per ...","Computed Tomography Scanners","Hospitals","44 548.10",""
"2012","Bulgaria","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care","102 899.83",""
"2012","Bulgaria","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","135 294.22",""
"2012","Bulgaria","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals","384 520.42",""
"2012","Bulgaria","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care","208 739.66",""
"2012","Bulgaria","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care","365 294.40",""
"2012","Bulgaria","Inhabitants per ...","Gamma cameras","Hospitals","365 294.40",""
"2012","Bulgaria","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",":",""
"2012","Bulgaria","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care","100 080.66",""
"2012","Bulgaria","Inhabitants per ...","Angiography units","Hospitals","123 828.61",""
"2012","Bulgaria","Inhabitants per ...","Angiography units","Providers of ambulatory health care","521 849.14",""
"2012","Bulgaria","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care","115 966.48",""
"2012","Bulgaria","Inhabitants per ...","Lithotriptors","Hospitals","187 330.46",""
"2012","Bulgaria","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care","304 412.00",""
"2012","Bulgaria","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","3.22",""
"2012","Bulgaria","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals","2.24",""
"2012","Bulgaria","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care","0.97",""
"2012","Bulgaria","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","0.74",""
"2012","Bulgaria","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals","0.26",""
"2012","Bulgaria","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care","0.48",""
"2012","Bulgaria","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care","0.27",""
"2012","Bulgaria","Per hundred thousand inhabitants","Gamma cameras","Hospitals","0.27",""
"2012","Bulgaria","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care","0.00",""
"2012","Bulgaria","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care","1.00",""
"2012","Bulgaria","Per hundred thousand inhabitants","Angiography units","Hospitals","0.81",""
"2012","Bulgaria","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care","0.19",""
"2012","Bulgaria","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care","0.86",""
"2012","Bulgaria","Per hundred thousand inhabitants","Lithotriptors","Hospitals","0.53",""
"2012","Bulgaria","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care","0.33",""
"2012","Czechia","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","158.00",""
"2012","Czechia","Number","Computed Tomography Scanners","Hospitals","144.00",""
"2012","Czechia","Number","Computed Tomography Scanners","Providers of ambulatory health care","14.00",""
"2012","Czechia","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","73.00",""
"2012","Czechia","Number","Magnetic Resonance Imaging Units","Hospitals","62.00",""
"2012","Czechia","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care","11.00",""
"2012","Czechia","Number","Gamma cameras","Hospitals and providers of ambulatory health care","119.00",""
"2012","Czechia","Number","Gamma cameras","Hospitals","107.00",""
"2012","Czechia","Number","Gamma cameras","Providers of ambulatory health care","12.00",""
"2012","Czechia","Number","Angiography units","Hospitals and providers of ambulatory health care","81.00",""
"2012","Czechia","Number","Angiography units","Hospitals","79.00",""
"2012","Czechia","Number","Angiography units","Providers of ambulatory health care","2.00",""
"2012","Czechia","Number","Lithotriptors","Hospitals and providers of ambulatory health care","34.00",""
"2012","Czechia","Number","Lithotriptors","Hospitals","34.00",""
"2012","Czechia","Number","Lithotriptors","Providers of ambulatory health care","0.00",""
"2012","Czechia","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","66 523.96",""
"2012","Czechia","Inhabitants per ...","Computed Tomography Scanners","Hospitals","72 991.56",""
"2012","Czechia","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care","750 770.36",""
"2012","Czechia","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","143 983.36",""
"2012","Czechia","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals","169 528.79",""
"2012","Czechia","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care","955 525.91",""
"2012","Czechia","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care","88 325.92",""
"2012","Czechia","Inhabitants per ...","Gamma cameras","Hospitals","98 231.64",""
"2012","Czechia","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care","875 898.75",""
"2012","Czechia","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care","129 762.78",""
"2012","Czechia","Inhabitants per ...","Angiography units","Hospitals","133 047.91",""
"2012","Czechia","Inhabitants per ...","Angiography units","Providers of ambulatory health care","5 255 392.50",""
"2012","Czechia","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care","309 140.74",""
"2012","Czechia","Inhabitants per ...","Lithotriptors","Hospitals","309 140.74",""
"2012","Czechia","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",":",""
"2012","Czechia","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","1.50",""
"2012","Czechia","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals","1.37",""
"2012","Czechia","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care","0.13",""
"2012","Czechia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","0.69",""
"2012","Czechia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals","0.59",""
"2012","Czechia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care","0.10",""
"2012","Czechia","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care","1.13",""
"2012","Czechia","Per hundred thousand inhabitants","Gamma cameras","Hospitals","1.02",""
"2012","Czechia","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care","0.11",""
"2012","Czechia","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care","0.77",""
"2012","Czechia","Per hundred thousand inhabitants","Angiography units","Hospitals","0.75",""
"2012","Czechia","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care","0.02",""
"2012","Czechia","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care","0.32",""
"2012","Czechia","Per hundred thousand inhabitants","Lithotriptors","Hospitals","0.32",""
"2012","Czechia","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care","0.00",""
"2012","Denmark","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","185.00","e"
"2012","Denmark","Number","Computed Tomography Scanners","Hospitals","183.00","e"
"2012","Denmark","Number","Computed Tomography Scanners","Providers of ambulatory health care","2.00",""
"2012","Denmark","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",":",""
"2012","Denmark","Number","Magnetic Resonance Imaging Units","Hospitals",":",""
"2012","Denmark","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care",":",""
"2012","Denmark","Number","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2012","Denmark","Number","Gamma cameras","Hospitals",":",""
"2012","Denmark","Number","Gamma cameras","Providers of ambulatory health care",":",""
"2012","Denmark","Number","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2012","Denmark","Number","Angiography units","Hospitals",":",""
"2012","Denmark","Number","Angiography units","Providers of ambulatory health care",":",""
"2012","Denmark","Number","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2012","Denmark","Number","Lithotriptors","Hospitals",":",""
"2012","Denmark","Number","Lithotriptors","Providers of ambulatory health care",":",""
"2012","Denmark","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","30 224.71","e"
"2012","Denmark","Inhabitants per ...","Computed Tomography Scanners","Hospitals","30 555.04","e"
"2012","Denmark","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care","2 795 786.00",""
"2012","Denmark","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",":",""
"2012","Denmark","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals",":",""
"2012","Denmark","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care",":",""
"2012","Denmark","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2012","Denmark","Inhabitants per ...","Gamma cameras","Hospitals",":",""
"2012","Denmark","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",":",""
"2012","Denmark","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2012","Denmark","Inhabitants per ...","Angiography units","Hospitals",":",""
"2012","Denmark","Inhabitants per ...","Angiography units","Providers of ambulatory health care",":",""
"2012","Denmark","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2012","Denmark","Inhabitants per ...","Lithotriptors","Hospitals",":",""
"2012","Denmark","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",":",""
"2012","Denmark","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","3.31","e"
"2012","Denmark","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals","3.27","e"
"2012","Denmark","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care","0.04",""
"2012","Denmark","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",":",""
"2012","Denmark","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals",":",""
"2012","Denmark","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care",":",""
"2012","Denmark","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2012","Denmark","Per hundred thousand inhabitants","Gamma cameras","Hospitals",":",""
"2012","Denmark","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care",":",""
"2012","Denmark","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2012","Denmark","Per hundred thousand inhabitants","Angiography units","Hospitals",":",""
"2012","Denmark","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",":",""
"2012","Denmark","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2012","Denmark","Per hundred thousand inhabitants","Lithotriptors","Hospitals",":",""
"2012","Denmark","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","2 735.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Computed Tomography Scanners","Hospitals","1 497.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Computed Tomography Scanners","Providers of ambulatory health care","1 238.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","2 305.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Magnetic Resonance Imaging Units","Hospitals","908.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care","1 397.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Gamma cameras","Hospitals","543.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Gamma cameras","Providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Angiography units","Hospitals","812.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Angiography units","Providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Lithotriptors","Hospitals","334.00",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Lithotriptors","Providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","29 406.15",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Computed Tomography Scanners","Hospitals","53 724.66",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care","64 964.32",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","34 891.90",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals","88 574.69",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care","57 570.38",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Gamma cameras","Hospitals","148 113.85",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Angiography units","Hospitals","99 046.58",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Angiography units","Providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Lithotriptors","Hospitals","240 795.88",""
"2012","Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","3.40",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals","1.86",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care","1.54",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","2.87",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals","1.13",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care","1.74",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Gamma cameras","Hospitals","0.68",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Angiography units","Hospitals","1.01",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Lithotriptors","Hospitals","0.42",""
"2012","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",":",""
"2012","Estonia","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","23.00",""
"2012","Estonia","Number","Computed Tomography Scanners","Hospitals","22.00",""
"2012","Estonia","Number","Computed Tomography Scanners","Providers of ambulatory health care","1.00",""
"2012","Estonia","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","13.00",""
"2012","Estonia","Number","Magnetic Resonance Imaging Units","Hospitals","9.00",""
"2012","Estonia","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care","4.00",""
"2012","Estonia","Number","Gamma cameras","Hospitals and providers of ambulatory health care","3.00",""
"2012","Estonia","Number","Gamma cameras","Hospitals","3.00",""
"2012","Estonia","Number","Gamma cameras","Providers of ambulatory health care","0.00",""
"2012","Estonia","Number","Angiography units","Hospitals and providers of ambulatory health care","9.00",""
"2012","Estonia","Number","Angiography units","Hospitals","9.00",""
"2012","Estonia","Number","Angiography units","Providers of ambulatory health care","0.00",""
"2012","Estonia","Number","Lithotriptors","Hospitals and providers of ambulatory health care","4.00",""
"2012","Estonia","Number","Lithotriptors","Hospitals","4.00",""
"2012","Estonia","Number","Lithotriptors","Providers of ambulatory health care","0.00",""
"2012","Estonia","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","57 508.50",""
"2012","Estonia","Inhabitants per ...","Computed Tomography Scanners","Hospitals","60 122.52",""
"2012","Estonia","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care","1 322 695.50",""
"2012","Estonia","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","101 745.81",""
"2012","Estonia","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals","146 966.17",""
"2012","Estonia","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care","330 673.88",""
"2012","Estonia","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care","440 898.50",""
"2012","Estonia","Inhabitants per ...","Gamma cameras","Hospitals","440 898.50",""
"2012","Estonia","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",":",""
"2012","Estonia","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care","146 966.17",""
"2012","Estonia","Inhabitants per ...","Angiography units","Hospitals","146 966.17",""
"2012","Estonia","Inhabitants per ...","Angiography units","Providers of ambulatory health care",":",""
"2012","Estonia","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care","330 673.88",""
"2012","Estonia","Inhabitants per ...","Lithotriptors","Hospitals","330 673.88",""
"2012","Estonia","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",":",""
"2012","Estonia","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","1.74",""
"2012","Estonia","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals","1.66",""
"2012","Estonia","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care","0.08",""
"2012","Estonia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","0.98",""
"2012","Estonia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals","0.68",""
"2012","Estonia","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care","0.30",""
"2012","Estonia","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care","0.23",""
"2012","Estonia","Per hundred thousand inhabitants","Gamma cameras","Hospitals","0.23",""
"2012","Estonia","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care","0.00",""
"2012","Estonia","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care","0.68",""
"2012","Estonia","Per hundred thousand inhabitants","Angiography units","Hospitals","0.68",""
"2012","Estonia","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care","0.00",""
"2012","Estonia","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care","0.30",""
"2012","Estonia","Per hundred thousand inhabitants","Lithotriptors","Hospitals","0.30",""
"2012","Estonia","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care","0.00",""
"2012","Ireland","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","77.00",""
"2012","Ireland","Number","Computed Tomography Scanners","Hospitals",":",""
"2012","Ireland","Number","Computed Tomography Scanners","Providers of ambulatory health care",":",""
"2012","Ireland","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","57.00",""
"2012","Ireland","Number","Magnetic Resonance Imaging Units","Hospitals","45.00",""
"2012","Ireland","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care","12.00",""
"2012","Ireland","Number","Gamma cameras","Hospitals and providers of ambulatory health care","30.00",""
"2012","Ireland","Number","Gamma cameras","Hospitals","30.00",""
"2012","Ireland","Number","Gamma cameras","Providers of ambulatory health care","0.00",""
"2012","Ireland","Number","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2012","Ireland","Number","Angiography units","Hospitals",":",""
"2012","Ireland","Number","Angiography units","Providers of ambulatory health care",":",""
"2012","Ireland","Number","Lithotriptors","Hospitals and providers of ambulatory health care","6.00",""
"2012","Ireland","Number","Lithotriptors","Hospitals",":",""
"2012","Ireland","Number","Lithotriptors","Providers of ambulatory health care",":",""
"2012","Ireland","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","59 734.19",""
"2012","Ireland","Inhabitants per ...","Computed Tomography Scanners","Hospitals",":",""
"2012","Ireland","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care",":",""
"2012","Ireland","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","80 693.56",""
"2012","Ireland","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals","102 211.84",""
"2012","Ireland","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care","383 294.42",""
"2012","Ireland","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care","153 317.77",""
"2012","Ireland","Inhabitants per ...","Gamma cameras","Hospitals","153 317.77",""
"2012","Ireland","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",":",""
"2012","Ireland","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2012","Ireland","Inhabitants per ...","Angiography units","Hospitals",":",""
"2012","Ireland","Inhabitants per ...","Angiography units","Providers of ambulatory health care",":",""
"2012","Ireland","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care","766 588.83",""
"2012","Ireland","Inhabitants per ...","Lithotriptors","Hospitals",":",""
"2012","Ireland","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",":",""
"2012","Ireland","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","1.67",""
"2012","Ireland","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals",":",""
"2012","Ireland","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care",":",""
"2012","Ireland","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","1.24",""
"2012","Ireland","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals","0.98",""
"2012","Ireland","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care","0.26",""
"2012","Ireland","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care","0.65",""
"2012","Ireland","Per hundred thousand inhabitants","Gamma cameras","Hospitals","0.65",""
"2012","Ireland","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care","0.00",""
"2012","Ireland","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2012","Ireland","Per hundred thousand inhabitants","Angiography units","Hospitals",":",""
"2012","Ireland","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",":",""
"2012","Ireland","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care","0.13",""
"2012","Ireland","Per hundred thousand inhabitants","Lithotriptors","Hospitals",":",""
"2012","Ireland","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",":",""
"2012","Greece","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","369.00",""
"2012","Greece","Number","Computed Tomography Scanners","Hospitals","169.00",""
"2012","Greece","Number","Computed Tomography Scanners","Providers of ambulatory health care","200.00",""
"2012","Greece","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","242.00",""
"2012","Greece","Number","Magnetic Resonance Imaging Units","Hospitals","68.00",""
"2012","Greece","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care","174.00",""
"2012","Greece","Number","Gamma cameras","Hospitals and providers of ambulatory health care","158.00",""
"2012","Greece","Number","Gamma cameras","Hospitals","56.00",""
"2012","Greece","Number","Gamma cameras","Providers of ambulatory health care","102.00",""
"2012","Greece","Number","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2012","Greece","Number","Angiography units","Hospitals",":",""
"2012","Greece","Number","Angiography units","Providers of ambulatory health care",":",""
"2012","Greece","Number","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2012","Greece","Number","Lithotriptors","Hospitals",":",""
"2012","Greece","Number","Lithotriptors","Providers of ambulatory health care",":",""
"2012","Greece","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","29 932.28",""
"2012","Greece","Inhabitants per ...","Computed Tomography Scanners","Hospitals","65 355.09",""
"2012","Greece","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care","55 225.05",""
"2012","Greece","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","45 640.54",""
"2012","Greece","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals","162 426.63",""
"2012","Greece","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care","63 477.07",""
"2012","Greece","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care","69 905.13",""
"2012","Greece","Inhabitants per ...","Gamma cameras","Hospitals","197 232.33",""
"2012","Greece","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care","108 284.42",""
"2012","Greece","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2012","Greece","Inhabitants per ...","Angiography units","Hospitals",":",""
"2012","Greece","Inhabitants per ...","Angiography units","Providers of ambulatory health care",":",""
"2012","Greece","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2012","Greece","Inhabitants per ...","Lithotriptors","Hospitals",":",""
"2012","Greece","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",":",""
"2012","Greece","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","3.34",""
"2012","Greece","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals","1.53",""
