"TIME","GEO","UNIT","SEX","ICD10","Value","Flag and Footnotes"
"2013","Denmark","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","2 004",""
"2013","Denmark","Number","Total","Pneumonia, organism unspecified","814",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","10 627",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Other sepsis","7 901",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","17 419",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Pneumonia, organism unspecified","18 820",""
"2013","Estonia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","108",""
"2013","Estonia","Number","Total","Other sepsis","7",""
"2013","Estonia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","408",""
"2013","Estonia","Number","Total","Pneumonia, organism unspecified","64",""
"2013","Ireland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","155",""
"2013","Ireland","Number","Total","Other sepsis","90",""
"2013","Ireland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","642",""
"2013","Ireland","Number","Total","Pneumonia, organism unspecified","967",""
"2013","Greece","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","326",""
"2013","Greece","Number","Total","Other sepsis","4 079",""
"2013","Greece","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","6 662",""
"2013","Greece","Number","Total","Pneumonia, organism unspecified","1 644",""
"2013","Spain","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","3 324",""
"2013","Spain","Number","Total","Other sepsis","2 884",""
"2013","Spain","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","12 386",""
"2013","Spain","Number","Total","Pneumonia, organism unspecified","7 976",""
"2013","France","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","5 844",""
"2013","France","Number","Total","Other sepsis","5 277",""
"2013","France","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","13 122",""
"2013","France","Number","Total","Pneumonia, organism unspecified","11 388",""
"2013","France (metropolitan)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","5 677",""
"2013","France (metropolitan)","Number","Total","Other sepsis","5 139",""
"2013","France (metropolitan)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","12 833",""
"2013","France (metropolitan)","Number","Total","Pneumonia, organism unspecified","11 223",""
"2013","Croatia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","140",""
"2013","Croatia","Number","Total","Other sepsis","173",""
"2013","Croatia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","766",""
"2013","Croatia","Number","Total","Pneumonia, organism unspecified","274",""
"2013","Italy","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","5 653",""
"2013","Italy","Number","Total","Other sepsis","7 163",""
"2013","Italy","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","10 771",""
"2013","Italy","Number","Total","Pneumonia, organism unspecified","8 852",""
"2013","Cyprus","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","37",""
"2013","Cyprus","Number","Total","Other sepsis","50",""
"2013","Cyprus","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","141",""
"2013","Cyprus","Number","Total","Pneumonia, organism unspecified","59",""
"2013","Latvia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","332",""
"2013","Latvia","Number","Total","Other sepsis","22",""
"2013","Latvia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","483",""
"2013","Latvia","Number","Total","Pneumonia, organism unspecified","379",""
"2013","Lithuania","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","334",""
"2013","Lithuania","Number","Total","Other sepsis","299",""
"2013","Lithuania","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","723",""
"2013","Lithuania","Number","Total","Pneumonia, organism unspecified","528",""
"2013","Luxembourg","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","34",""
"2013","Luxembourg","Number","Total","Other sepsis","53",""
"2013","Luxembourg","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","87",""
"2013","Luxembourg","Number","Total","Pneumonia, organism unspecified","65",""
"2013","Hungary","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","848",""
"2013","Hungary","Number","Total","Other sepsis","56",""
"2013","Hungary","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","3 189",""
"2013","Hungary","Number","Total","Pneumonia, organism unspecified","265",""
"2013","Malta","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","16",""
"2013","Malta","Number","Total","Other sepsis","8",""
"2013","Malta","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","138",""
"2013","Malta","Number","Total","Pneumonia, organism unspecified","135",""
"2013","Netherlands","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","1 551",""
"2013","Netherlands","Number","Total","Other sepsis","1 667",""
"2013","Netherlands","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","3 106",""
"2013","Netherlands","Number","Total","Pneumonia, organism unspecified","3 416",""
"2013","Austria","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","639",""
"2013","Austria","Number","Total","Other sepsis","104",""
"2013","Austria","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 136",""
"2013","Austria","Number","Total","Pneumonia, organism unspecified","714",""
"2013","Poland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","1 470",""
"2013","Poland","Number","Total","Other sepsis","498",""
"2013","Poland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","7 879",""
"2013","Poland","Number","Total","Pneumonia, organism unspecified","11 212",""
"2013","Portugal","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","1 235",""
"2013","Portugal","Number","Total","Other sepsis","1 204",""
"2013","Portugal","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","4 510",""
"2013","Portugal","Number","Total","Pneumonia, organism unspecified","5 343",""
"2013","Romania","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","1 554",""
"2013","Romania","Number","Total","Other sepsis","800",""
"2013","Romania","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","3 125",""
"2013","Romania","Number","Total","Pneumonia, organism unspecified","5 381",""
"2013","Slovenia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","49",""
"2013","Slovenia","Number","Total","Other sepsis","62",""
"2013","Slovenia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","549",""
"2013","Slovenia","Number","Total","Pneumonia, organism unspecified","610",""
"2013","Slovakia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","109",""
"2013","Slovakia","Number","Total","Other sepsis","275",""
"2013","Slovakia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 526",""
"2013","Slovakia","Number","Total","Pneumonia, organism unspecified","1 475",""
"2013","Finland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","191",""
"2013","Finland","Number","Total","Other sepsis","119",""
"2013","Finland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","729",""
"2013","Finland","Number","Total","Pneumonia, organism unspecified","219",""
"2013","Sweden","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","1 298",""
"2013","Sweden","Number","Total","Other sepsis","985",""
"2013","Sweden","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 389",""
"2013","Sweden","Number","Total","Pneumonia, organism unspecified","1 982",""
"2013","Iceland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","12",""
"2013","Iceland","Number","Total","Other sepsis","7",""
"2013","Iceland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","24",""
"2013","Iceland","Number","Total","Pneumonia, organism unspecified","63",""
"2013","Liechtenstein","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","2",""
"2013","Liechtenstein","Number","Total","Other sepsis","2",""
"2013","Liechtenstein","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",":",""
"2013","Liechtenstein","Number","Total","Pneumonia, organism unspecified","10",""
"2013","Norway","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","591",""
"2013","Norway","Number","Total","Other sepsis","396",""
"2013","Norway","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","817",""
"2013","Norway","Number","Total","Pneumonia, organism unspecified","1 428",""
"2013","Switzerland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","601",""
"2013","Switzerland","Number","Total","Other sepsis","185",""
"2013","Switzerland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 612",""
"2013","Switzerland","Number","Total","Pneumonia, organism unspecified","1 178",""
"2013","United Kingdom","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","3 677",""
"2013","United Kingdom","Number","Total","Other sepsis","2 564",""
"2013","United Kingdom","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","17 322",""
"2013","United Kingdom","Number","Total","Pneumonia, organism unspecified","28 936",""
"2013","Serbia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","395",""
"2013","Serbia","Number","Total","Other sepsis","188",""
"2013","Serbia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 291",""
"2013","Serbia","Number","Total","Pneumonia, organism unspecified","893",""
"2013","Turkey","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","2 844",""
"2013","Turkey","Number","Total","Other sepsis","3 527",""
"2013","Turkey","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","6 003",""
"2013","Turkey","Number","Total","Pneumonia, organism unspecified","5 822",""
"2014","European Union - 27 countries (from 2020)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","36 952",""
"2014","European Union - 27 countries (from 2020)","Number","Total","Other sepsis","37 061",""
"2014","European Union - 27 countries (from 2020)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","97 191",""
"2014","European Union - 27 countries (from 2020)","Number","Total","Pneumonia, organism unspecified","82 181",""
"2014","European Union - 28 countries (2013-2020)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","40 260",""
"2014","European Union - 28 countries (2013-2020)","Number","Total","Other sepsis","39 800",""
"2014","European Union - 28 countries (2013-2020)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","117 014",""
"2014","European Union - 28 countries (2013-2020)","Number","Total","Pneumonia, organism unspecified","110 192",""
"2014","Belgium","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","1 269",""
"2014","Belgium","Number","Total","Other sepsis","1 280",""
"2014","Belgium","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","3 144",""
"2014","Belgium","Number","Total","Pneumonia, organism unspecified","3 201",""
"2014","Bulgaria","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","282",""
"2014","Bulgaria","Number","Total","Other sepsis","176",""
"2014","Bulgaria","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 339",""
"2014","Bulgaria","Number","Total","Pneumonia, organism unspecified","1 248",""
"2014","Czechia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","575",""
"2014","Czechia","Number","Total","Other sepsis","1 173",""
"2014","Czechia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","2 426",""
"2014","Czechia","Number","Total","Pneumonia, organism unspecified","1 969",""
"2014","Denmark","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","591",""
"2014","Denmark","Number","Total","Other sepsis","318",""
"2014","Denmark","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","1 820",""
"2014","Denmark","Number","Total","Pneumonia, organism unspecified","718",""
"2014","Germany (until 1990 former territory of the FRG)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","9 589",""
"2014","Germany (until 1990 former territory of the FRG)","Number","Total","Other sepsis","8 444",""
