"TIME","GEO","OWNER","UNIT","Value","Value_imp"
2012,"Hungary","For-profit private ownership","Inhabitants per ...",53255.74,TRUE
2012,"Hungary","For-profit private ownership","Per hundred thousand inhabitants",1.88,TRUE
2012,"Malta","Public ownership","Number",1863,FALSE
2012,"Malta","Public ownership","Inhabitants per ...",225.46,FALSE
2012,"Malta","Public ownership","Per hundred thousand inhabitants",443.54,FALSE
2012,"Malta","Not-for-profit private ownership","Number",0,FALSE
2012,"Malta","Not-for-profit private ownership","Inhabitants per ...",9896.59,TRUE
2012,"Malta","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2012,"Malta","For-profit private ownership","Number",114,FALSE
2012,"Malta","For-profit private ownership","Inhabitants per ...",3684.45,FALSE
2012,"Malta","For-profit private ownership","Per hundred thousand inhabitants",27.14,FALSE
2012,"Netherlands","Public ownership","Number",40928,TRUE
2012,"Netherlands","Public ownership","Inhabitants per ...",178.51,TRUE
2012,"Netherlands","Public ownership","Per hundred thousand inhabitants",560.21,TRUE
2012,"Netherlands","Not-for-profit private ownership","Number",64339,FALSE
2012,"Netherlands","Not-for-profit private ownership","Inhabitants per ...",260.42,FALSE
2012,"Netherlands","Not-for-profit private ownership","Per hundred thousand inhabitants",384,FALSE
2012,"Netherlands","For-profit private ownership","Number",7380,TRUE
2012,"Netherlands","For-profit private ownership","Inhabitants per ...",1007.07,TRUE
2012,"Netherlands","For-profit private ownership","Per hundred thousand inhabitants",99.3,TRUE
2012,"Austria","Public ownership","Number",45107,FALSE
2012,"Austria","Public ownership","Inhabitants per ...",186.89,FALSE
2012,"Austria","Public ownership","Per hundred thousand inhabitants",535.08,FALSE
2012,"Austria","Not-for-profit private ownership","Number",11417,FALSE
2012,"Austria","Not-for-profit private ownership","Inhabitants per ...",738.37,FALSE
2012,"Austria","Not-for-profit private ownership","Per hundred thousand inhabitants",135.43,FALSE
2012,"Austria","For-profit private ownership","Number",8167,FALSE
2012,"Austria","For-profit private ownership","Inhabitants per ...",1032.2,FALSE
2012,"Austria","For-profit private ownership","Per hundred thousand inhabitants",96.88,FALSE
2012,"Poland","Public ownership","Number",190175,TRUE
2012,"Poland","Public ownership","Inhabitants per ...",200.04,TRUE
2012,"Poland","Public ownership","Per hundred thousand inhabitants",499.9,TRUE
2012,"Poland","Not-for-profit private ownership","Number",0,TRUE
2012,"Poland","Not-for-profit private ownership","Inhabitants per ...",9592.02,TRUE
2012,"Poland","Not-for-profit private ownership","Per hundred thousand inhabitants",0,TRUE
2012,"Poland","For-profit private ownership","Number",61281,TRUE
2012,"Poland","For-profit private ownership","Inhabitants per ...",620.79,TRUE
2012,"Poland","For-profit private ownership","Per hundred thousand inhabitants",161.08,TRUE
2012,"Portugal","Public ownership","Number",25786,FALSE
2012,"Portugal","Public ownership","Inhabitants per ...",407.77,FALSE
2012,"Portugal","Public ownership","Per hundred thousand inhabitants",245.23,FALSE
2012,"Portugal","Not-for-profit private ownership","Number",7014,FALSE
2012,"Portugal","Not-for-profit private ownership","Inhabitants per ...",1499.12,FALSE
2012,"Portugal","Not-for-profit private ownership","Per hundred thousand inhabitants",66.71,FALSE
2012,"Portugal","For-profit private ownership","Number",3015,FALSE
2012,"Portugal","For-profit private ownership","Inhabitants per ...",3487.51,FALSE
2012,"Portugal","For-profit private ownership","Per hundred thousand inhabitants",28.67,FALSE
2012,"Romania","Public ownership","Number",127560,FALSE
2012,"Romania","Public ownership","Inhabitants per ...",157.24,FALSE
2012,"Romania","Public ownership","Per hundred thousand inhabitants",635.95,FALSE
2012,"Romania","Not-for-profit private ownership","Number",260,FALSE
2012,"Romania","Not-for-profit private ownership","Inhabitants per ...",77146.29,FALSE
2012,"Romania","Not-for-profit private ownership","Per hundred thousand inhabitants",1.3,FALSE
2012,"Romania","For-profit private ownership","Number",4483,FALSE
2012,"Romania","For-profit private ownership","Inhabitants per ...",4474.24,FALSE
2012,"Romania","For-profit private ownership","Per hundred thousand inhabitants",22.35,FALSE
2012,"Slovenia","Public ownership","Number",9247,FALSE
2012,"Slovenia","Public ownership","Inhabitants per ...",222.47,FALSE
2012,"Slovenia","Public ownership","Per hundred thousand inhabitants",449.5,FALSE
2012,"Slovenia","Not-for-profit private ownership","Number",0,FALSE
2012,"Slovenia","Not-for-profit private ownership","Inhabitants per ...",9896.59,TRUE
2012,"Slovenia","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2012,"Slovenia","For-profit private ownership","Number",102,FALSE
2012,"Slovenia","For-profit private ownership","Inhabitants per ...",20168.22,FALSE
2012,"Slovenia","For-profit private ownership","Per hundred thousand inhabitants",4.96,FALSE
2012,"Finland","Public ownership","Number",27352,FALSE
2012,"Finland","Public ownership","Inhabitants per ...",197.94,FALSE
2012,"Finland","Public ownership","Per hundred thousand inhabitants",505.21,FALSE
2012,"Finland","Not-for-profit private ownership","Number",267,TRUE
2012,"Finland","Not-for-profit private ownership","Inhabitants per ...",9896.59,TRUE
2012,"Finland","Not-for-profit private ownership","Per hundred thousand inhabitants",2.54,TRUE
2012,"Finland","For-profit private ownership","Number",1333,FALSE
2012,"Finland","For-profit private ownership","Inhabitants per ...",4061.49,FALSE
2012,"Finland","For-profit private ownership","Per hundred thousand inhabitants",24.62,FALSE
2012,"Iceland","Public ownership","Number",1041,FALSE
2012,"Iceland","Public ownership","Inhabitants per ...",308.08,FALSE
2012,"Iceland","Public ownership","Per hundred thousand inhabitants",324.59,FALSE
2012,"Iceland","Not-for-profit private ownership","Number",0,FALSE
2012,"Iceland","Not-for-profit private ownership","Inhabitants per ...",9896.59,TRUE
2012,"Iceland","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2012,"Iceland","For-profit private ownership","Number",0,FALSE
2012,"Iceland","For-profit private ownership","Inhabitants per ...",1007.07,TRUE
2012,"Iceland","For-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2012,"Liechtenstein","Public ownership","Number",74,FALSE
2012,"Liechtenstein","Public ownership","Inhabitants per ...",495.36,FALSE
2012,"Liechtenstein","Public ownership","Per hundred thousand inhabitants",201.87,FALSE
2012,"Liechtenstein","Not-for-profit private ownership","Number",0,FALSE
2012,"Liechtenstein","Not-for-profit private ownership","Inhabitants per ...",9896.59,TRUE
2012,"Liechtenstein","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2012,"Liechtenstein","For-profit private ownership","Number",4,FALSE
2012,"Liechtenstein","For-profit private ownership","Inhabitants per ...",9164.13,FALSE
2012,"Liechtenstein","For-profit private ownership","Per hundred thousand inhabitants",10.91,FALSE
2012,"Norway","Public ownership","Number",15665,FALSE
2012,"Norway","Public ownership","Inhabitants per ...",320.37,FALSE
2012,"Norway","Public ownership","Per hundred thousand inhabitants",312.14,FALSE
2012,"Norway","Not-for-profit private ownership","Number",267,TRUE
2012,"Norway","Not-for-profit private ownership","Inhabitants per ...",9896.59,TRUE
2012,"Norway","Not-for-profit private ownership","Per hundred thousand inhabitants",2.54,TRUE
2012,"Norway","For-profit private ownership","Number",7380,TRUE
2012,"Norway","For-profit private ownership","Inhabitants per ...",1007.07,TRUE
2012,"Norway","For-profit private ownership","Per hundred thousand inhabitants",99.3,TRUE
2012,"United Kingdom","Public ownership","Number",178841,FALSE
2012,"United Kingdom","Public ownership","Inhabitants per ...",356.18,FALSE
2012,"United Kingdom","Public ownership","Per hundred thousand inhabitants",280.75,FALSE
2012,"United Kingdom","Not-for-profit private ownership","Number",267,TRUE
2012,"United Kingdom","Not-for-profit private ownership","Inhabitants per ...",9896.59,TRUE
2012,"United Kingdom","Not-for-profit private ownership","Per hundred thousand inhabitants",2.54,TRUE
2012,"United Kingdom","For-profit private ownership","Number",7380,TRUE
2012,"United Kingdom","For-profit private ownership","Inhabitants per ...",1007.07,TRUE
2012,"United Kingdom","For-profit private ownership","Per hundred thousand inhabitants",99.3,TRUE
2012,"Montenegro","Public ownership","Number",2466,FALSE
2012,"Montenegro","Public ownership","Inhabitants per ...",251.66,FALSE
2012,"Montenegro","Public ownership","Per hundred thousand inhabitants",397.36,FALSE
2012,"Montenegro","Not-for-profit private ownership","Number",0,FALSE
2012,"Montenegro","Not-for-profit private ownership","Inhabitants per ...",9896.59,TRUE
2012,"Montenegro","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2012,"Montenegro","For-profit private ownership","Number",7380,TRUE
2012,"Montenegro","For-profit private ownership","Inhabitants per ...",1007.07,TRUE
2012,"Montenegro","For-profit private ownership","Per hundred thousand inhabitants",99.3,TRUE
2012,"North Macedonia","Public ownership","Number",8806,FALSE
2012,"North Macedonia","Public ownership","Inhabitants per ...",234.05,FALSE
2012,"North Macedonia","Public ownership","Per hundred thousand inhabitants",427.26,FALSE
2012,"North Macedonia","Not-for-profit private ownership","Number",0,FALSE
2012,"North Macedonia","Not-for-profit private ownership","Inhabitants per ...",9896.59,TRUE
2012,"North Macedonia","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2012,"North Macedonia","For-profit private ownership","Number",270,FALSE
2012,"North Macedonia","For-profit private ownership","Inhabitants per ...",7633.5,FALSE
2012,"North Macedonia","For-profit private ownership","Per hundred thousand inhabitants",13.1,FALSE
2012,"Serbia","Public ownership","Number",39171,FALSE
2012,"Serbia","Public ownership","Inhabitants per ...",183.79,FALSE
2012,"Serbia","Public ownership","Per hundred thousand inhabitants",544.11,FALSE
2012,"Serbia","Not-for-profit private ownership","Number",0,FALSE
2012,"Serbia","Not-for-profit private ownership","Inhabitants per ...",9896.59,TRUE
2012,"Serbia","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2012,"Serbia","For-profit private ownership","Number",7380,TRUE
2012,"Serbia","For-profit private ownership","Inhabitants per ...",1007.07,TRUE
2012,"Serbia","For-profit private ownership","Per hundred thousand inhabitants",99.3,TRUE
2012,"Turkey","Public ownership","Number",161058,FALSE
2012,"Turkey","Public ownership","Inhabitants per ...",466.76,FALSE
2012,"Turkey","Public ownership","Per hundred thousand inhabitants",214.24,FALSE
2012,"Turkey","Not-for-profit private ownership","Number",0,FALSE
2012,"Turkey","Not-for-profit private ownership","Inhabitants per ...",9896.59,TRUE
2012,"Turkey","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2012,"Turkey","For-profit private ownership","Number",39014,FALSE
2012,"Turkey","For-profit private ownership","Inhabitants per ...",1926.89,FALSE
2012,"Turkey","For-profit private ownership","Per hundred thousand inhabitants",51.9,FALSE
2013,"Belgium","Public ownership","Number",17979,FALSE
2013,"Belgium","Public ownership","Inhabitants per ...",620.69,FALSE
2013,"Belgium","Public ownership","Per hundred thousand inhabitants",161.11,FALSE
2013,"Belgium","Not-for-profit private ownership","Number",48169,FALSE
2013,"Belgium","Not-for-profit private ownership","Inhabitants per ...",231.67,FALSE
2013,"Belgium","Not-for-profit private ownership","Per hundred thousand inhabitants",431.64,FALSE
2013,"Belgium","For-profit private ownership","Number",17979,TRUE
2013,"Belgium","For-profit private ownership","Inhabitants per ...",620.69,TRUE
2013,"Belgium","For-profit private ownership","Per hundred thousand inhabitants",161.11,TRUE
2013,"Bulgaria","Public ownership","Number",41037,FALSE
2013,"Bulgaria","Public ownership","Inhabitants per ...",177.04,FALSE
2013,"Bulgaria","Public ownership","Per hundred thousand inhabitants",564.85,FALSE
2013,"Bulgaria","Not-for-profit private ownership","Number",0,FALSE
2013,"Bulgaria","Not-for-profit private ownership","Inhabitants per ...",177.04,TRUE
2013,"Bulgaria","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2013,"Bulgaria","For-profit private ownership","Number",8485,FALSE
2013,"Bulgaria","For-profit private ownership","Inhabitants per ...",856.23,FALSE
2013,"Bulgaria","For-profit private ownership","Per hundred thousand inhabitants",116.79,FALSE
2013,"Czechia","Public ownership","Number",59999,FALSE
2013,"Czechia","Public ownership","Inhabitants per ...",175.24,FALSE
2013,"Czechia","Public ownership","Per hundred thousand inhabitants",570.64,FALSE
2013,"Czechia","Not-for-profit private ownership","Number",253,FALSE
2013,"Czechia","Not-for-profit private ownership","Inhabitants per ...",41558.39,FALSE
2013,"Czechia","Not-for-profit private ownership","Per hundred thousand inhabitants",2.41,FALSE
2013,"Czechia","For-profit private ownership","Number",10210,FALSE
2013,"Czechia","For-profit private ownership","Inhabitants per ...",1029.8,FALSE
2013,"Czechia","For-profit private ownership","Per hundred thousand inhabitants",97.11,FALSE
2013,"Denmark","Public ownership","Number",16316,FALSE
2013,"Denmark","Public ownership","Inhabitants per ...",344.14,FALSE
2013,"Denmark","Public ownership","Per hundred thousand inhabitants",290.58,FALSE
2013,"Denmark","Not-for-profit private ownership","Number",570,FALSE
2013,"Denmark","Not-for-profit private ownership","Inhabitants per ...",9850.76,FALSE
2013,"Denmark","Not-for-profit private ownership","Per hundred thousand inhabitants",10.15,FALSE
2013,"Denmark","For-profit private ownership","Number",355,FALSE
2013,"Denmark","For-profit private ownership","Inhabitants per ...",15816.71,FALSE
2013,"Denmark","For-profit private ownership","Per hundred thousand inhabitants",6.32,FALSE
2013,"Germany (until 1990 former territory of the FRG)","Public ownership","Number",271557,FALSE
2013,"Germany (until 1990 former territory of the FRG)","Public ownership","Inhabitants per ...",296.97,FALSE
2013,"Germany (until 1990 former territory of the FRG)","Public ownership","Per hundred thousand inhabitants",336.73,FALSE
2013,"Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Number",197267,FALSE
2013,"Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Inhabitants per ...",408.81,FALSE
2013,"Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Per hundred thousand inhabitants",244.61,FALSE
2013,"Germany (until 1990 former territory of the FRG)","For-profit private ownership","Number",198736,FALSE
2013,"Germany (until 1990 former territory of the FRG)","For-profit private ownership","Inhabitants per ...",405.79,FALSE
2013,"Germany (until 1990 former territory of the FRG)","For-profit private ownership","Per hundred thousand inhabitants",246.43,FALSE
2013,"Estonia","Public ownership","Number",6037,FALSE
2013,"Estonia","Public ownership","Inhabitants per ...",218.32,FALSE
2013,"Estonia","Public ownership","Per hundred thousand inhabitants",458.04,FALSE
2013,"Estonia","Not-for-profit private ownership","Number",182,FALSE
2013,"Estonia","Not-for-profit private ownership","Inhabitants per ...",7241.74,FALSE
2013,"Estonia","Not-for-profit private ownership","Per hundred thousand inhabitants",13.81,FALSE
2013,"Estonia","For-profit private ownership","Number",378,FALSE
2013,"Estonia","For-profit private ownership","Inhabitants per ...",3486.76,FALSE
2013,"Estonia","For-profit private ownership","Per hundred thousand inhabitants",28.68,FALSE
2013,"Greece","Public ownership","Number",30322,FALSE
2013,"Greece","Public ownership","Inhabitants per ...",361.63,FALSE
2013,"Greece","Public ownership","Per hundred thousand inhabitants",276.53,FALSE
2013,"Greece","Not-for-profit private ownership","Number",924,FALSE
2013,"Greece","Not-for-profit private ownership","Inhabitants per ...",11867.11,FALSE
2013,"Greece","Not-for-profit private ownership","Per hundred thousand inhabitants",8.43,FALSE
2013,"Greece","For-profit private ownership","Number",15264,FALSE
2013,"Greece","For-profit private ownership","Inhabitants per ...",718.37,FALSE
2013,"Greece","For-profit private ownership","Per hundred thousand inhabitants",139.2,FALSE
2013,"Spain","Public ownership","Number",94901,FALSE
2013,"Spain","Public ownership","Inhabitants per ...",491.25,FALSE
2013,"Spain","Public ownership","Per hundred thousand inhabitants",203.56,FALSE
2013,"Spain","Not-for-profit private ownership","Number",17243,FALSE
2013,"Spain","Not-for-profit private ownership","Inhabitants per ...",2703.71,FALSE
2013,"Spain","Not-for-profit private ownership","Per hundred thousand inhabitants",36.99,FALSE
2013,"Spain","For-profit private ownership","Number",26009,FALSE
2013,"Spain","For-profit private ownership","Inhabitants per ...",1792.46,FALSE
2013,"Spain","For-profit private ownership","Per hundred thousand inhabitants",55.79,FALSE
2013,"France","Public ownership","Number",256957,FALSE
2013,"France","Public ownership","Inhabitants per ...",256.4,FALSE
2013,"France","Public ownership","Per hundred thousand inhabitants",390.02,FALSE
2013,"France","Not-for-profit private ownership","Number",58241,FALSE
2013,"France","Not-for-profit private ownership","Inhabitants per ...",1131.22,FALSE
2013,"France","Not-for-profit private ownership","Per hundred thousand inhabitants",88.4,FALSE
2013,"France","For-profit private ownership","Number",98008,FALSE
2013,"France","For-profit private ownership","Inhabitants per ...",672.22,FALSE
2013,"France","For-profit private ownership","Per hundred thousand inhabitants",148.76,FALSE
2013,"Croatia","Public ownership","Number",24516,FALSE
2013,"Croatia","Public ownership","Inhabitants per ...",173.54,FALSE
2013,"Croatia","Public ownership","Per hundred thousand inhabitants",576.24,FALSE
2013,"Croatia","Not-for-profit private ownership","Number",140,FALSE
2013,"Croatia","Not-for-profit private ownership","Inhabitants per ...",30389.1,FALSE
2013,"Croatia","Not-for-profit private ownership","Per hundred thousand inhabitants",3.29,FALSE
2013,"Croatia","For-profit private ownership","Number",277,FALSE
2013,"Croatia","For-profit private ownership","Inhabitants per ...",15359.11,FALSE
2013,"Croatia","For-profit private ownership","Per hundred thousand inhabitants",6.51,FALSE
2013,"Italy","Public ownership","Number",135606,FALSE
2013,"Italy","Public ownership","Inhabitants per ...",444.18,FALSE
2013,"Italy","Public ownership","Per hundred thousand inhabitants",225.13,FALSE
2013,"Italy","Not-for-profit private ownership","Number",7597,FALSE
2013,"Italy","Not-for-profit private ownership","Inhabitants per ...",7928.65,FALSE
2013,"Italy","Not-for-profit private ownership","Per hundred thousand inhabitants",12.61,FALSE
2013,"Italy","For-profit private ownership","Number",56271,FALSE
2013,"Italy","For-profit private ownership","Inhabitants per ...",1070.43,FALSE
2013,"Italy","For-profit private ownership","Per hundred thousand inhabitants",93.42,FALSE
2013,"Cyprus","Public ownership","Number",1525,FALSE
2013,"Cyprus","Public ownership","Inhabitants per ...",565.21,FALSE
2013,"Cyprus","Public ownership","Per hundred thousand inhabitants",176.93,FALSE
2013,"Cyprus","Not-for-profit private ownership","Number",0,FALSE
2013,"Cyprus","Not-for-profit private ownership","Inhabitants per ...",9850.76,TRUE
2013,"Cyprus","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2013,"Cyprus","For-profit private ownership","Number",1413,FALSE
2013,"Cyprus","For-profit private ownership","Inhabitants per ...",610.01,FALSE
2013,"Cyprus","For-profit private ownership","Per hundred thousand inhabitants",163.93,FALSE
2013,"Latvia","Public ownership","Number",10597,FALSE
2013,"Latvia","Public ownership","Inhabitants per ...",189.93,FALSE
2013,"Latvia","Public ownership","Per hundred thousand inhabitants",526.52,FALSE
2013,"Latvia","Not-for-profit private ownership","Number",0,FALSE
2013,"Latvia","Not-for-profit private ownership","Inhabitants per ...",9850.76,TRUE
2013,"Latvia","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2013,"Latvia","For-profit private ownership","Number",1076,FALSE
2013,"Latvia","For-profit private ownership","Inhabitants per ...",1870.49,FALSE
2013,"Latvia","For-profit private ownership","Per hundred thousand inhabitants",53.46,FALSE
2013,"Lithuania","Public ownership","Number",21387,FALSE
2013,"Lithuania","Public ownership","Inhabitants per ...",138.29,FALSE
2013,"Lithuania","Public ownership","Per hundred thousand inhabitants",723.1,FALSE
2013,"Lithuania","Not-for-profit private ownership","Number",0,FALSE
2013,"Lithuania","Not-for-profit private ownership","Inhabitants per ...",9850.76,TRUE
2013,"Lithuania","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2013,"Lithuania","For-profit private ownership","Number",241,FALSE
2013,"Lithuania","For-profit private ownership","Inhabitants per ...",12272.57,FALSE
2013,"Lithuania","For-profit private ownership","Per hundred thousand inhabitants",8.15,FALSE
2013,"Hungary","Public ownership","Number",69427,TRUE
2013,"Hungary","Public ownership","Inhabitants per ...",143.78,TRUE
2013,"Hungary","Public ownership","Per hundred thousand inhabitants",695.52,TRUE
2013,"Hungary","Not-for-profit private ownership","Number",2085,TRUE
2013,"Hungary","Not-for-profit private ownership","Inhabitants per ...",4796.17,TRUE
2013,"Hungary","Not-for-profit private ownership","Per hundred thousand inhabitants",20.85,TRUE
2013,"Hungary","For-profit private ownership","Number",187,TRUE
2013,"Hungary","For-profit private ownership","Inhabitants per ...",53255.74,TRUE
2013,"Hungary","For-profit private ownership","Per hundred thousand inhabitants",1.88,TRUE
2013,"Malta","Public ownership","Number",1913,FALSE
2013,"Malta","Public ownership","Inhabitants per ...",222.67,FALSE
2013,"Malta","Public ownership","Per hundred thousand inhabitants",449.1,FALSE
2013,"Malta","Not-for-profit private ownership","Number",0,FALSE
2013,"Malta","Not-for-profit private ownership","Inhabitants per ...",9850.76,TRUE
2013,"Malta","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2013,"Malta","For-profit private ownership","Number",121,FALSE
2013,"Malta","For-profit private ownership","Inhabitants per ...",3520.38,FALSE
2013,"Malta","For-profit private ownership","Per hundred thousand inhabitants",28.41,FALSE
2013,"Netherlands","Public ownership","Number",41037,TRUE
2013,"Netherlands","Public ownership","Inhabitants per ...",177.04,TRUE
2013,"Netherlands","Public ownership","Per hundred thousand inhabitants",564.85,TRUE
2013,"Netherlands","Not-for-profit private ownership","Number",63080,FALSE
2013,"Netherlands","Not-for-profit private ownership","Inhabitants per ...",266.4,FALSE
2013,"Netherlands","Not-for-profit private ownership","Per hundred thousand inhabitants",375.38,FALSE
2013,"Netherlands","For-profit private ownership","Number",8485,TRUE
2013,"Netherlands","For-profit private ownership","Inhabitants per ...",1029.8,TRUE
2013,"Netherlands","For-profit private ownership","Per hundred thousand inhabitants",97.11,TRUE
2013,"Austria","Public ownership","Number",45029,FALSE
2013,"Austria","Public ownership","Inhabitants per ...",188.32,FALSE
2013,"Austria","Public ownership","Per hundred thousand inhabitants",531.01,FALSE
2013,"Austria","Not-for-profit private ownership","Number",11318,FALSE
2013,"Austria","Not-for-profit private ownership","Inhabitants per ...",749.23,FALSE
2013,"Austria","Not-for-profit private ownership","Per hundred thousand inhabitants",133.47,FALSE
2013,"Austria","For-profit private ownership","Number",8478,FALSE
2013,"Austria","For-profit private ownership","Inhabitants per ...",1000.22,FALSE
2013,"Austria","For-profit private ownership","Per hundred thousand inhabitants",99.98,FALSE
2013,"Poland","Public ownership","Number",190175,TRUE
2013,"Poland","Public ownership","Inhabitants per ...",200.04,TRUE
2013,"Poland","Public ownership","Per hundred thousand inhabitants",499.9,TRUE
2013,"Poland","Not-for-profit private ownership","Number",0,TRUE
2013,"Poland","Not-for-profit private ownership","Inhabitants per ...",9592.02,TRUE
2013,"Poland","Not-for-profit private ownership","Per hundred thousand inhabitants",0,TRUE
2013,"Poland","For-profit private ownership","Number",61281,TRUE
2013,"Poland","For-profit private ownership","Inhabitants per ...",620.79,TRUE
2013,"Poland","For-profit private ownership","Per hundred thousand inhabitants",161.08,TRUE
2013,"Portugal","Public ownership","Number",25004,FALSE
2013,"Portugal","Public ownership","Inhabitants per ...",418.22,FALSE
2013,"Portugal","Public ownership","Per hundred thousand inhabitants",239.11,FALSE
2013,"Portugal","Not-for-profit private ownership","Number",7046,FALSE
2013,"Portugal","Not-for-profit private ownership","Inhabitants per ...",1484.15,FALSE
2013,"Portugal","Not-for-profit private ownership","Per hundred thousand inhabitants",67.38,FALSE
2013,"Portugal","For-profit private ownership","Number",3428,FALSE
2013,"Portugal","For-profit private ownership","Inhabitants per ...",3050.55,FALSE
2013,"Portugal","For-profit private ownership","Per hundred thousand inhabitants",32.78,FALSE
2013,"Romania","Public ownership","Number",127716,FALSE
2013,"Romania","Public ownership","Inhabitants per ...",156.47,FALSE
2013,"Romania","Public ownership","Per hundred thousand inhabitants",639.1,FALSE
2013,"Romania","Not-for-profit private ownership","Number",345,FALSE
2013,"Romania","Not-for-profit private ownership","Inhabitants per ...",57923.75,FALSE
2013,"Romania","Not-for-profit private ownership","Per hundred thousand inhabitants",1.73,FALSE
2013,"Romania","For-profit private ownership","Number",5293,FALSE
2013,"Romania","For-profit private ownership","Inhabitants per ...",3775.49,FALSE
2013,"Romania","For-profit private ownership","Per hundred thousand inhabitants",26.49,FALSE
2013,"Slovenia","Public ownership","Number",9275,FALSE
2013,"Slovenia","Public ownership","Inhabitants per ...",222.1,FALSE
2013,"Slovenia","Public ownership","Per hundred thousand inhabitants",450.25,FALSE
2013,"Slovenia","Not-for-profit private ownership","Number",0,FALSE
2013,"Slovenia","Not-for-profit private ownership","Inhabitants per ...",9850.76,TRUE
2013,"Slovenia","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2013,"Slovenia","For-profit private ownership","Number",102,FALSE
2013,"Slovenia","For-profit private ownership","Inhabitants per ...",20195.62,FALSE
2013,"Slovenia","For-profit private ownership","Per hundred thousand inhabitants",4.95,FALSE
2013,"Finland","Public ownership","Number",25395,FALSE
2013,"Finland","Public ownership","Inhabitants per ...",214.17,FALSE
2013,"Finland","Public ownership","Per hundred thousand inhabitants",466.91,FALSE
2013,"Finland","Not-for-profit private ownership","Number",253,TRUE
2013,"Finland","Not-for-profit private ownership","Inhabitants per ...",9850.76,TRUE
2013,"Finland","Not-for-profit private ownership","Per hundred thousand inhabitants",2.41,TRUE
2013,"Finland","For-profit private ownership","Number",1105,FALSE
2013,"Finland","For-profit private ownership","Inhabitants per ...",4922.15,FALSE
2013,"Finland","For-profit private ownership","Per hundred thousand inhabitants",20.32,FALSE
2013,"Iceland","Public ownership","Number",1043,FALSE
2013,"Iceland","Public ownership","Inhabitants per ...",310.42,FALSE
2013,"Iceland","Public ownership","Per hundred thousand inhabitants",322.15,FALSE
2013,"Iceland","Not-for-profit private ownership","Number",0,FALSE
2013,"Iceland","Not-for-profit private ownership","Inhabitants per ...",9850.76,TRUE
2013,"Iceland","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2013,"Iceland","For-profit private ownership","Number",0,FALSE
2013,"Iceland","For-profit private ownership","Inhabitants per ...",1029.8,TRUE
2013,"Iceland","For-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2013,"Liechtenstein","Public ownership","Number",57,FALSE
2013,"Liechtenstein","Public ownership","Inhabitants per ...",648.83,FALSE
2013,"Liechtenstein","Public ownership","Per hundred thousand inhabitants",154.12,FALSE
2013,"Liechtenstein","Not-for-profit private ownership","Number",0,FALSE
2013,"Liechtenstein","Not-for-profit private ownership","Inhabitants per ...",9850.76,TRUE
2013,"Liechtenstein","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2013,"Liechtenstein","For-profit private ownership","Number",4,FALSE
2013,"Liechtenstein","For-profit private ownership","Inhabitants per ...",9245.88,FALSE
2013,"Liechtenstein","For-profit private ownership","Per hundred thousand inhabitants",10.82,FALSE
2013,"Norway","Public ownership","Number",15206,FALSE
2013,"Norway","Public ownership","Inhabitants per ...",334.05,FALSE
2013,"Norway","Public ownership","Per hundred thousand inhabitants",299.35,FALSE
2013,"Norway","Not-for-profit private ownership","Number",253,TRUE
2013,"Norway","Not-for-profit private ownership","Inhabitants per ...",9850.76,TRUE
2013,"Norway","Not-for-profit private ownership","Per hundred thousand inhabitants",2.41,TRUE
2013,"Norway","For-profit private ownership","Number",8485,TRUE
2013,"Norway","For-profit private ownership","Inhabitants per ...",1029.8,TRUE
2013,"Norway","For-profit private ownership","Per hundred thousand inhabitants",97.11,TRUE
2013,"United Kingdom","Public ownership","Number",176791,FALSE
2013,"United Kingdom","Public ownership","Inhabitants per ...",362.73,FALSE
2013,"United Kingdom","Public ownership","Per hundred thousand inhabitants",275.68,FALSE
2013,"United Kingdom","Not-for-profit private ownership","Number",253,TRUE
2013,"United Kingdom","Not-for-profit private ownership","Inhabitants per ...",9850.76,TRUE
2013,"United Kingdom","Not-for-profit private ownership","Per hundred thousand inhabitants",2.41,TRUE
2013,"United Kingdom","For-profit private ownership","Number",8485,TRUE
